ID,Company,Type,Infrastructure,Type Infrastructure,City,Zip Code,Location,Address,Latitude,Longitude,Company_raw,Type_raw,Infrastructure_raw,Type Infrastructure_raw,City_raw,Location_raw,Address_raw,Zip Code_raw,Import_Source,Import_Classification,Data_Quality_Flag
1,InPost,Locker,Privada,Supermarket,Madrid,28001,Supermercado Dia,"Calle de Nuñez de Balboa, 32",40.425934054539,-3.6820859336482,InPost,Lockers,Private,Supermarket,Madrid,Supermercado Dia,"Calle de Nuñez de Balboa, 32",28001,,,
2,InPost,Locker,Privada,Parking,Madrid,28001,24/7 Parking Ayala Grupo,"Cl. de Ayala, 38",40.4278760353187,-3.68457609100166,InPost,Lockers,Private,Parking,Madrid,24/7 Parking Ayala Grupo,"Cl. de Ayala, 38",28001,,,
3,InPost,Convenience Stores,Privada,Premises,Madrid,28001,Grupo Hicorsa Artes Graficas,"Calle de Goya, 43",40.4254253799792,-3.68290454567351,InPost,Convenience stores,Private,Premises,Madrid,Grupo Hicorsa Artes Graficas,"Calle de Goya, 43",28001 ,,,
4,InPost,Convenience Stores,Privada,Premises,Madrid,28001,Panaderia Alimentacion Lagasca,"Calle de Lagasca, 6",40.4212867752639,-3.68557037997434,InPost,Convenience stores,Private,Premises,Madrid,Panaderia Alimentacion Lagasca,"Calle de Lagasca, 6",28001,,,
5,InPost,Convenience Stores,Privada,Premises,Madrid,28001,Jesus Rodriguez Cuadros,"C. de Alcalá, 99",40.4216836164103,-3.68356702300901,InPost,Convenience stores,Private,Premises,Madrid,Jesus Rodriguez Cuadros,"C. de Alcalá, 99",28001,,,
6,InPost,Convenience Stores,Privada,Premises,Madrid,28001,La Capital,"Calle del Gral. Pardiñas, 3",40.4240257512772,-3.67888428062795,InPost,Convenience stores,Private,Premises,Madrid,La Capital,"Calle del Gral. Pardiñas, 3",28001,,,
7,InPost,Convenience Stores,Privada,Premises,Madrid,28001,Take Up,"Calle del Gral. Pardiñas, 31",40.4271067637238,-3.67874588879956,InPost,Convenience stores,Private,Premises,Madrid,Take Up,"Calle del Gral. Pardiñas, 31",28001,,,
8,InPost,Locker,Pública,Parking,Madrid,28001,24/7 Emt Parking Recoletos,"P.o de Recoletos, 4",40.4207388653189,-3.6918522423678,InPost,Lockers,Public,Parking,Madrid,24/7 Emt Parking Recoletos,"P.º de Recoletos, 4",28001,,,
9,InPost,Locker,Privada,Supermarket,Madrid,28002,Locker Eroski City Sanchez Pach,C. de Sánchez Pacheco,40.4477458306326,-3.67234765257941,InPost,Lockers,Private,Supermarket,Madrid,Locker Eroski City Sanchez Pach,C. de Sánchez Pacheco,28002,,,
10,InPost,Convenience Stores,Privada,Premises,Madrid,28002,Moran Opticos,"C. de López de Hoyos, 128",40.4451542325239,-3.67340205034153,InPost,Convenience stores,Private,Premises,Madrid,Moran Opticos,"C. de López de Hoyos, 128",28002,,,
11,InPost,Convenience Stores,Privada,Premises,Madrid,28002,Herbolario Sana Sana,"C. de Pradillo, 7",40.4489601877465,-3.67549662131465,InPost,Convenience stores,Private,Premises,Madrid,Herbolario Sana Sana,"C. de Pradillo, 7",28002,,,
12,InPost,Convenience Stores,Privada,Premises,Madrid,28002,Locutorio Robert Multiservices,"C. de Vinaroz, 2",40.444972082564,-3.67505069555944,InPost,Convenience stores,Private,Premises,Madrid,Locutorio Robert Multiservices,"C. de Vinaroz, 2",28002,,,
13,InPost,Convenience Stores,Privada,Premises,Madrid,28002,Optica Golf,C. del Príncipe de Vergara 2,40.4419071580472,-3.67853443382289,InPost,Convenience stores,Private,Premises,Madrid,Optica Golf,C. del Príncipe de Vergara 2,28002,,,
14,InPost,Locker,Privada,Supermarket,Madrid,28002,Supermercado Dia,"C. de Eugenio Salazar, 27",40.4464482284661,-3.67485812342945,InPost,Lockers,Private,Supermarket,Madrid,Supermercado Dia,"C. de Eugenio Salazar, 27",28002,,,
15,InPost,Convenience Stores,Privada,Premises,Madrid,28002,Mioptico Lopez De Hoyos,"C. de López de Hoyos, 135",40.4472892867419,-3.6697827533466,InPost,Convenience stores,Private,Premises,Madrid,Mioptico Lopez De Hoyos,"C. de López de Hoyos, 135",28002,,,
16,InPost,Convenience Stores,Privada,Premises,Madrid,28002,Digital Y Envios,"C/ de Baeza, 4",40.4456140483529,-3.66927210385134,InPost,Convenience stores,Private,Premises,Madrid,Digital Y Envios,"C/ de Baeza, 4",28002,,,
17,InPost,Convenience Stores,Privada,Premises,Madrid,28002,Luisipo,"C. de Clara del Rey, 2",40.4402449747403,-3.67355205269051,InPost,Convenience stores,Private,Premises,Madrid,Luisipo,"C. de Clara del Rey, 2",28002,,,
18,InPost,Locker,Privada,Parking,Madrid,28002,Parking Clara Del Rey,"C. de Clara del Rey, 32",40.4434030977575,-3.66871566696109,InPost,Lockers,Private,Parking,Madrid,Parking Clara Del Rey,"C. de Clara del Rey, 32",28002,,,
19,InPost,Convenience Stores,Privada,Premises,Madrid,28002,Chip Inside,"C. de Clara del Rey, 20",40.4423566848615,-3.67033865833193,InPost,Convenience stores,Private,Premises,Madrid,Chip Inside,"C. de Clara del Rey, 20",28002,,,
