codi_carrer,numpost,llepost,tipusnum,districte,barri,secc_est,secc_cens,dist_post,x_ed50,y_ed50,x_etrs89,y_etrs89,longitud_wgs84,latitud_wgs84
7890.0,21,,,19,191,,1901,,,,725128.9730025965,4367971.670897229,-0.38431070543255025,39.4318969265901
81000.0,51,,,19,191,,1901,,,,725833.4980025971,4368309.850897227,-0.3760188596085165,39.43475665612676
38820.0,131,,,11,112,,1117,,,,729632.2282026028,4372122.0614972,-0.3306146452650279,39.46806609918005
48150.0,7,,,9,091,,0905,,,,724635.5370025984,4370788.877897212,-0.3890907907094254,39.4573841757467
20280.0,29,,,15,152,,1514,,,,725599.1323026043,4374927.544197183,-0.3765021234619035,39.49438506896418
61440.0,56,,,19,192,,1902,,,,726934.188002598,4367912.3978972295,-0.363377441193685,39.43089001530151
6510.0,32,,,11,112,,1109,,,,729266.6038026024,4371629.072997205,-0.3350299503858131,39.46372622903558
63960.0,22,,,14,141,,1402,,,,727021.6790026042,4373901.369897188,-0.36032523786383724,39.48477413567989
24360.0,205,,,11,112,,1121,,,,729851.5570026034,4372456.867897199,-0.32795228669636706,39.471021093754636
81463.0,8,,,9,093,,0926,,,,724758.0430025979,4370219.023897216,-0.3878601403619718,39.45222280372652
5610.0,74,,,11,112,,1121,,,,729596.3139026039,4372488.6314972,-0.3309055614727097,39.471375112922615
71520.0,19,,,1,013,,0112,,,,725318.2270026022,4373265.8548971955,-0.38032725087146213,39.47950157628154
81452.0,16,,,17,173,,1703,,,,725230.365002607,4377399.799897169,-0.3799502077913211,39.51673482704338
18360.0,26,,,1,015,,0125,,,,725612.3240026021,4372613.132897197,-0.37713207973317026,39.473549265398525
30660.0,33,,,8,084,,0827,,,,724247.776002598,4370976.252897211,-0.3935303648896917,39.4591718559267
49350.0,8,,,4,041,,0402,,,,723780.5110026007,4373682.447897194,-0.3980484130111273,39.48365273315374
31200.0,9,,,8,081,,0833,,,,724491.4550025996,4371706.065897204,-0.3904553113643405,39.46567761002046
54660.0,373,,,11,112,,1130,,,,729773.1474026039,4372692.483797196,-0.3287817221019389,39.47316276224749
24660.0,20,,,16,161,,1602,,,,724384.7890026022,4374243.563897188,-0.3908402719388617,39.488546087958255
80320.0,4,,,7,073,,0725,,,,723972.871002599,4371653.610897204,-0.3964952255427232,39.465340517116566
62280.0,4,,,10,101,,1004,,,,726526.5620026009,4370794.87289721,-0.3671312865251966,39.45694278944111
30510.0,78,,,16,161,,1605,,,,723978.9050026024,4374778.528897186,-0.3953755486879676,39.49346722827075
81262.0,9,,,19,193,,1906,,,,729212.9960025979,4367045.856897235,-0.33722496890576686,39.42248737917105
81218.0,45,,,19,196,,1916,,,,734316.8660025756,4352471.603897328,-0.2830846470947449,39.28993802134469
40650.0,19,,,14,141,,1401,,,,727255.3370026049,4373636.943897191,-0.3577012405878253,39.48233234790821
31920.0,41,,,10,102,,1019,,,,726150.821002601,4370743.494897208,-0.3715115347400564,39.45657908253444
40320.0,24,,,3,032,,0310,,,,725476.9120026004,4371716.046997204,-0.3790079536001077,39.46550992032803
15600.0,2,,,10,106,,1041,,,,727354.0510025999,4369478.396897217,-0.357971333799957,39.44487505551552
2910.0,190,,,11,112,,1121,,,,729831.4480026034,4372452.426897198,-0.32818734749157663,39.470986490690194
81665.0,6,,,17,176,,1706,,,,723069.0370026055,4379629.334897155,-0.40432049497593014,39.53736723895172
24360.0,33,,,11,112,,1111,,,,729795.4310026024,4371784.508897202,-0.3288356537339262,39.464984299484364
58500.0,14,,,1,014,,0119,,,,725186.5710026021,4372707.543897197,-0.3820449710395121,39.47451057702386
38430.0,58,,,2,023,,0253,,,,726648.1150026019,4371527.760897205,-0.36547104499482297,39.46350760372441
57630.0,110,,,10,101,,1002,,,,726349.3830026014,4371079.5128972065,-0.36909204857864025,39.45955145736465
7230.0,12,,,1,016,,0128,,,,725545.5190026019,4372189.821897202,-0.37805108313888713,39.46975648076602
8130.0,71,,,11,115,,1145,,,,729474.5638026006,4370106.686497212,-0.33313839013242236,39.44996803313134
35100.0,114,,,1,013,,0113,,,,725062.6058026019,4373108.064397195,-0.38334958823260784,39.47814816919545
33840.0,48,,,19,197,,1914,,,,724662.9480025956,4368016.91789723,-0.38970479566413385,39.432425804164474
7590.0,15,,,10,102,,1016,,,,725894.2860026006,4370645.76889721,-0.37452330038640685,39.455766763060716
81218.0,110,,,19,196,,1916,,,,734321.0910025752,4352413.886897327,-0.28305579930563135,39.289417382024105
18540.0,82,,,2,022,,0241,,,,726558.1780026028,4372173.171897202,-0.3662962910165369,39.46934067935949
13620.0,43,,,18,181,,1808,,,,721630.7260025984,4375613.8318971805,-0.4223783190855018,39.50159448521358
4800.0,29,,,11,115,,1147,,,,729448.9166026012,4370211.897497213,-0.3334000004047422,39.450921856467616
34290.0,5,,,6,064,,0623,,,,727579.8190026041,4373115.636897194,-0.3541101720906821,39.47755430784771
32070.0,4,,,18,181,,1808,,,,721316.2250025971,4375405.644897181,-0.42610175028836417,39.49980150756538
11040.0,55,,,15,152,,1522,,,,725475.5370026039,4374858.984897183,-0.37796120284690177,39.49380036927733
20550.0,47,,,3,032,,0310,,,,725396.0370026003,4371677.199897203,-0.37996026158031776,39.46518142772744
30600.0,46,,,19,192,,1905,,,,727141.648002597,4366979.928697234,-0.36128625839751627,39.42244210733456
81161.0,21,,,11,115,,1147,,,,729324.710002601,4370287.398897214,-0.3348161072604876,39.45163451276555
5280.0,6,,,11,112,,1122,,,,729703.1423026037,4372226.716097199,-0.32975510597722296,39.46898915749248
12120.0,4,,,1,015,,0124,,,,725394.7493026023,4372727.013697199,-0.37962054230552605,39.474631333234896
66000.0,18,,,19,198,,1912,,,,724317.3390025947,4367785.64689723,-0.39379404381982736,39.43043406931436
10890.0,21,,,11,115,,1146,,,,729335.2190026004,4369963.482197215,-0.3348053321817583,39.44871617676108
59460.0,36,,,8,084,,0827,,,,724142.2370025978,4370813.808897211,-0.3948104181774211,39.457737124903595
21450.0,1,,,18,181,,1805,,,,721989.3130025993,4375547.064897182,-0.4182340802916461,39.500900981161045
58710.0,22,,,6,062,,0607,,,,726862.1750026029,4372491.8848971985,-0.3626575007526753,39.472129370607476
64140.0,18,,,4,041,,0404,,,,723802.5510026005,4373634.329897193,-0.39780854880448363,39.48321387600032
81179.0,2,,,13,132,,1308,,,,728156.6690026035,4372574.057897198,-0.3475955822523331,39.47252684151484
38940.0,38,,,16,161,,1625,,,,724296.2600026022,4374675.8968971865,-0.39172319293226204,39.49246070889867
54660.0,168,,,11,112,,1122,,,,729730.8460026032,4372260.361297201,-0.32942180011661765,39.46928459894644
61620.0,313,,,11,112,,1130,,,,729737.8440026032,4372625.869897196,-0.32921466394960636,39.4725726069645
81395.0,6,,,6,062,,0626,,,,727537.0650026039,4372817.129897199,-0.3547085805414893,39.47487875385857
66420.0,30,,,2,023,,0255,,,,726767.4260026022,4371768.5578972045,-0.3640037396949423,39.465643620517596
53250.0,7,,,15,152,,1517,,,,725870.0510026051,4375124.589897181,-0.37328791134232675,39.496087588854145
21870.0,4,,,16,162,,1620,,,,723804.1640026021,4375015.729897186,-0.39732595465016896,39.49564782794476
17310.0,16,,,4,041,,0420,,,,723978.0200026,4373154.595897197,-0.3959314619191219,39.47884999303359
46290.0,5,,,1,016,,0132,,,,725662.6120026011,4372066.795897202,-0.37673283501878313,39.46861841462715
80950.0,54,,,4,044,,0427,,,,723301.5100025998,4373947.63389719,-0.40352368150044615,39.48616421630106
20280.0,114,,,15,152,,1519,,,,725524.0810026051,4375322.800897183,-0.37724025257348925,39.49796250814418
54660.0,244,,,11,112,,1121,,,,729757.4890026036,4372469.184897199,-0.32904048046047923,39.47115707087274
13140.0,17,,,8,081,,0815,,,,724556.1900025997,4371415.138897208,-0.3898014430425138,39.46304201608201
58890.0,4,,,6,062,,0612,,,,727286.538002602,4371760.112897203,-0.35797834790151023,39.46543071535361
72030.0,6,,,2,021,,0216,,,,725705.2530026004,4371462.7458972065,-0.37644194664137776,39.46317008074278
75780.0,9,,,10,102,,1013,,,,726214.3250026008,4370907.708897212,-0.37071852845780545,39.458040516974165
62670.0,9,,,3,034,,0336,,,,725323.8010026005,4371538.338897205,-0.3808460078376725,39.46395042082233
33030.0,49,,,4,041,,0403,,,,723718.5610026004,4373767.372897191,-0.39873952653854833,39.48443327955172
39060.0,3,,,4,041,,0403,,,,723674.4490026003,4373411.2528971955,-0.3993714102713906,39.48123920435522
77310.0,6,,,1,016,,0131,,,,725829.8110026018,4372296.312897201,-0.3747134145349068,39.47064048435019
42930.0,17,,,17,176,,1706,,,,723085.7450026063,4379945.4798971545,-0.40402018649271043,39.54020859953612
49590.0,28,,,16,161,,1610,,,,724705.7840026028,4374350.188897188,-0.38707541364372955,39.48942205108494
43740.0,30,,,11,112,,1112,,,,730022.1209026035,4372098.6795972,-0.32609497863941284,39.46775155149607
50430.0,11,,,17,177,,1707,,,,724324.4580026051,4377258.63889717,-0.39052570198382747,39.515701164259234
74340.0,1,,,1,011,,0101,,,,725853.1750026026,4373055.821897196,-0.3741849039155089,39.47747080043319
81218.0,98,,,19,196,,1916,,,,734268.020002575,4352519.985897327,-0.2836335861623471,39.290386706424194
61620.0,154,,,11,112,,1122,,,,729686.0580026034,4372165.579297199,-0.329974551088484,39.468443434513276
81407.0,4,,,19,191,,1901,,,,725861.0230025968,4367619.170897229,-0.37593273728365334,39.4285324835369
25680.0,166,,,12,123,,1240,,,,728275.6710026028,4371622.4148972025,-0.3465391167896105,39.46392960168577
34140.0,121,,,19,196,,1916,,,,734805.7740025735,4351634.887897333,-0.27771350458961314,39.28227459926728
60570.0,4,,,11,111,,1155,,,,729179.3050026017,4371018.548897208,-0.3362533026898471,39.45825421573131
81586.0,2,,,4,044,,0426,,,,723442.8660026016,4374644.614897187,-0.40164796634684496,39.49240125718367
38820.0,133,,,11,112,,1117,,,,729633.2431026027,4372127.6176972,-0.3306009472291128,39.468115838866964
61020.0,7,,,1,013,,0110,,,,725347.5600026022,4373413.911897194,-0.37993650851256694,39.480826581262264
4800.0,31,,,11,115,,1147,,,,729448.1030026012,4370206.067497212,-0.33341144938963324,39.45086959807557
7170.0,30,,,11,112,,1130,,,,729655.7784026038,4372665.631997197,-0.33015404572995677,39.47295239910721
11400.0,4,,,1,013,,0111,,,,725635.7270026027,4373257.475897195,-0.37664228349287016,39.47934296028416
81221.0,15,,,18,182,,1804,,,,723085.7180026012,4374984.216897185,-0.4056834460772469,39.49555083749188
38100.0,12,,,3,032,,0310,,,,725502.6340026007,4371963.904897205,-0.37862548534436014,39.46773419735496
48390.0,34,,,5,052,,0518,,,,725915.888002604,4373902.24489719,-0.3731697264890896,39.48507309467689
26100.0,42,,,9,095,,0938,,,,724962.4360025976,4369454.87789722,-0.38574439605551925,39.44529116716178
56280.0,15,,,1,012,,0105,,,,725962.0450026024,4372604.085897198,-0.37307344835117706,39.47337608717097
44100.0,5,,,3,033,,0327,,,,724187.4540026,4372508.830897202,-0.39371591500515035,39.47298274634156
46350.0,20,,,19,196,,1916,,,,733082.59700258,4354472.297897315,-0.2966880783337873,39.30827892175021
37320.0,6,,,2,022,,0236,,,,726165.909002602,4372146.718897202,-0.37086081926829717,39.46920572642803
24900.0,6,,,18,182,,1804,,,,723134.1780026014,4375089.813897184,-0.40508507154579,39.4964887784739
5370.0,28,,,18,181,,1803,,,,721603.5100025984,4375822.88089718,-0.4226249957784032,39.50348324241125
45810.0,32,,,11,112,,1126,,,,729337.3400026036,4372591.890897199,-0.3338776185298724,39.47237357487495
5910.0,8,,,11,112,,1126,,,,729402.9570026041,4372606.152897199,-0.3331106693649835,39.472484458843375
