ID,Company,Type,Infrastructure,Type Infrastructure,City,Zip Code,Location,Address,Latitude,Longitude,Company_raw,Type_raw,Infrastructure_raw,Type Infrastructure_raw,City_raw,Location_raw,Address_raw,Zip Code_raw,Import_Source,Import_Classification,Data_Quality_Flag
1,InPost,Convenience Stores,Privada,Premises,Valencia,46001,Perfumarte Maria Cristina,"C. de María Cristina, 9",39.47310955975495,-0.377633211837713,InPost,Convenience stores,Private,Premises,Valencia,Perfumarte Maria Cristina,"C. de María Cristina, 9",46001.0,,,
2,InPost,Locker,Privada,Premises,Valencia,46003,Carmen Laundry,"C. de Alejandra Soler, 9",39.47756090944269,-0.3828099665562772,InPost,Lockers,Private,Premises,Valencia,Carmen Laundry,"C. de Alejandra Soler, 9",46003.0,,,
3,InPost,Convenience Stores,Privada,Premises,Valencia,46001,Valira Tienda De Fabrica,"Calle del Músico Peydró, 30",39.47179659723847,-0.3784938211122619,InPost,Convenience stores,Private,Premises,Valencia,Valira Tienda De Fabrica,"Calle del Músico Peydró, 30",46001.0,,,
4,InPost,Convenience Stores,Privada,Premises,Valencia,46003,Economy Print,"C/ de Ripalda, 20",39.47889580112418,-0.3812462309078208,InPost,Convenience stores,Private,Premises,Valencia,Economy Print,"C/ de Ripalda, 20",46003.0,,,
5,InPost,Locker,Privada,Premises,Valencia,46008,Carmen Laundry 2,"C. de Quart, 125",39.47473011396571,-0.3901642470217949,InPost,Lockers,Private,Premises,Valencia,Carmen Laundry 2,"C. de Quart, 125",46008.0,,,
6,InPost,Locker,Privada,Supermarket,Valencia,46008,Dia C/ Juan Llorens,"C. de Juan Llorens, 10",39.47356343765982,-0.3913135158114307,InPost,Lockers,Private,Supermarket,Valencia,Dia C/ Juan Llorens,"C. de Juan Llorens, 10",46008.0,,,
7,InPost,Locker,Privada,Supermarket,Valencia,46003,Superm Charter C/Salvado,"C/ de Salvador Giner, 22",39.48075067455666,-0.3798377191040145,InPost,Lockers,Private,Supermarket,Valencia,Superm Charter C/Salvado,"C/ de Salvador Giner, 22",46003.0,,,
8,InPost,Convenience Stores,Privada,Kiosk,Valencia,46008,El Quiosc,C. de San Ignacio de Loyola,39.47389899460428,-0.3896573891830816,InPost,Convenience stores,Private,Kiosk,Valencia,El Quiosc,C. de San Ignacio de Loyola,46008.0,,,
9,InPost,Convenience Stores,Privada,Premises,Valencia,46008,Expendeduria 156,"C. de Calixto III, 1",39.47253854767568,-0.3867316660609,InPost,Convenience stores,Private,Premises,Valencia,Expendeduria 156,"C. de Calixto III, 1",46008.0,,,
10,InPost,Convenience Stores,Privada,Premises,Valencia,46008,Kalinopa,"Gran Vía de Fernando el Católico, 56",39.473999706363465,-0.3868670342211692,InPost,Convenience stores,Private,Premises,Valencia,Kalinopa,"Gran Vía de Fernando el Católico, 56",46008.0,,,
11,InPost,Convenience Stores,Privada,Premises,Valencia,46008,Outlet Destino 8,"C/ Angel Guimera, 30",39.47034447468592,-0.3868492440298763,InPost,Convenience stores,Private,Premises,Valencia,Outlet Destino 8,"C/ Angel Guimera, 30",46008.0,,,
12,InPost,Locker,Privada,Premises,Valencia,46003,Lacolada Ciutat Vella,"C. de la Blanqueria, 9",39.48015886194766,-0.377359092388655,InPost,Lockers,Private,Premises,Valencia,Lacolada Ciutat Vella,"C. de la Blanqueria, 9",46003.0,,,
13,InPost,Convenience Stores,Privada,Premises,Valencia,46008,Milar Gran Via,"Gran Vía de Fernando el Católico, 3",39.46946482690077,-0.3846478777238517,InPost,Convenience stores,Private,Premises,Valencia,Milar Gran Via,"Gran Vía de Fernando el Católico, 3",46008.0,,,
14,InPost,Convenience Stores,Privada,Premises,Valencia,46003,Naturalworld,"Carrer de Roteros, 2",39.47915825477076,-0.3762365408354187,InPost,Convenience stores,Private,Premises,Valencia,Naturalworld,"Carrer de Roteros, 2",46003.0,,,
15,InPost,Convenience Stores,Privada,Premises,Valencia,46008,Plantas Y Flores Lantana,Calle de Sta. María Micaela,39.47227140704873,-0.3920542507520121,InPost,Convenience stores,Private,Premises,Valencia,Plantas Y Flores Lantana,Calle de Sta. María Micaela,46008.0,,,
16,InPost,Convenience Stores,Privada,Premises,Valencia,46009,El Trebol Del Turia,"Av. de Burjassot, 18",39.484222876226845,-0.3825261752885064,InPost,Convenience stores,Private,Premises,Valencia,El Trebol Del Turia,"Av. de Burjassot, 18",46009.0,,,
17,InPost,Convenience Stores,Privada,Premises,Valencia,46008,Firdos Movil,"C. de Martín el Humano, 30",39.46981902183968,-0.3902598607606746,InPost,Convenience stores,Private,Premises,Valencia,Firdos Movil,"C. de Martín el Humano, 30",46008.0,,,
18,InPost,Locker,Privada,Gym,Valencia,46009,Gimnasio Deportivo Okina,"C. del Padre Ferris, 28",39.48456527859329,-0.3854917629750939,InPost,Lockers,Private,Gym,Valencia,Gimnasio Deportivo Okina,"C. del Padre Ferris, 28",46009.0,,,
19,InPost,Convenience Stores,Privada,Premises,Valencia,46003,Estanco N 3,"Pl. de Manises, 1",39.47706756476296,-0.3768830371436411,InPost,Convenience stores,Private,Premises,Valencia,Estanco N 3,"Pl. de Manises, 1",46003.0,,,
20,InPost,Convenience Stores,Privada,Premises,Valencia,46008,Bazar 28 De Septiembre,"C/ Guillem de Castro, 69",39.471498689873805,-0.3838940968876781,InPost,Convenience stores,Private,Premises,Valencia,Bazar 28 De Septiembre,"C/ Guillem de Castro, 69",46008.0,,,
21,InPost,Convenience Stores,Privada,Premises,Valencia,46018,Estanco Maria,"C/ de la Democracia, 50",39.47389837850953,-0.4004610214738694,InPost,Convenience stores,Private,Premises,Valencia,Estanco Maria,"C/ de la Democracia, 50",46018.0,,,
22,InPost,Convenience Stores,Privada,Kiosk,Valencia,46018,Eurollibreria,"C. Manolo Taberner, 38",39.471353308021655,-0.3981564036555148,InPost,Convenience stores,Private,Kiosk,Valencia,Eurollibreria,"C. Manolo Taberner, 38",46018.0,,,
23,InPost,Convenience Stores,Privada,Kiosk,Valencia,46015,Kiosco Papeleria Arco Iris,"Av. de Manuel de Falla, 3",39.47659387597814,-0.3985098410800225,InPost,Convenience stores,Private,Kiosk,Valencia,Kiosco Papeleria Arco Iris,"Av. de Manuel de Falla, 3",46015.0,,,
24,InPost,Convenience Stores,Privada,Supermarket,Valencia,46015,Supermercado Tandy,"Av. del Maestro Rodrigo, 15",39.47773862738112,-0.3980739071241684,InPost,Convenience stores,Private,Supermarket,Valencia,Supermercado Tandy,"Av. del Maestro Rodrigo, 15",46015.0,,,
25,InPost,Convenience Stores,Privada,Premises,Valencia,46018,Suico Papeleria Librería,"C. Brasil, 12",39.47131524227039,-0.3957866786862146,InPost,Convenience stores,Private,Premises,Valencia,Suico Papeleria Librería,"C. Brasil, 12",46018.0,,,
26,InPost,Convenience Stores,Privada,Premises,Valencia,46008,Miss Buye,"C. Buen Orden, 12",39.46689043663387,-0.3865841124502649,InPost,Convenience stores,Private,Premises,Valencia,Miss Buye,"C. Buen Orden, 12",46008.0,,,
27,InPost,Convenience Stores,Privada,Premises,Valencia,46007,Avalon Papeleria,"C. de Albacete, 4",39.465437552152615,-0.3827902412627987,InPost,Convenience stores,Private,Premises,Valencia,Avalon Papeleria,"C. de Albacete, 4",46007.0,,,
