Data_Referencia;Codi_Districte;Nom_Districte;Codi_Barri;Nom_Barri;AEB;Seccio_Censal;Valor
01/01/2026;1;Ciutat Vella;1;el Raval;1;1001;1423
01/01/2026;1;Ciutat Vella;1;el Raval;1;1002;1410
01/01/2026;1;Ciutat Vella;1;el Raval;2;1003;3829
01/01/2026;1;Ciutat Vella;1;el Raval;2;1004;3097
01/01/2026;1;Ciutat Vella;1;el Raval;3;1005;2583
01/01/2026;1;Ciutat Vella;1;el Raval;3;1006;1845
01/01/2026;1;Ciutat Vella;1;el Raval;3;1007;2211
01/01/2026;1;Ciutat Vella;1;el Raval;4;1008;3402
01/01/2026;1;Ciutat Vella;1;el Raval;4;1009;2388
01/01/2026;1;Ciutat Vella;1;el Raval;4;1010;2666
01/01/2026;1;Ciutat Vella;1;el Raval;5;1011;3772
01/01/2026;1;Ciutat Vella;1;el Raval;5;1012;2139
01/01/2026;1;Ciutat Vella;1;el Raval;5;1013;1472
01/01/2026;1;Ciutat Vella;1;el Raval;6;1014;1773
01/01/2026;1;Ciutat Vella;1;el Raval;6;1015;2630
01/01/2026;1;Ciutat Vella;1;el Raval;6;1016;2172
01/01/2026;1;Ciutat Vella;1;el Raval;6;1017;2805
01/01/2026;1;Ciutat Vella;1;el Raval;7;1018;1635
01/01/2026;1;Ciutat Vella;1;el Raval;7;1019;3083
01/01/2026;1;Ciutat Vella;1;el Raval;7;1020;2269
01/01/2026;1;Ciutat Vella;1;el Raval;8;1021;2259
01/01/2026;1;Ciutat Vella;2;el Barri Gòtic;9;1022;1443
01/01/2026;1;Ciutat Vella;2;el Barri Gòtic;9;1023;2296
01/01/2026;1;Ciutat Vella;2;el Barri Gòtic;10;1025;1483
01/01/2026;1;Ciutat Vella;2;el Barri Gòtic;10;1026;12589
01/01/2026;1;Ciutat Vella;2;el Barri Gòtic;10;1027;1622
01/01/2026;1;Ciutat Vella;2;el Barri Gòtic;11;1028;2024
01/01/2026;1;Ciutat Vella;2;el Barri Gòtic;11;1029;1522
01/01/2026;1;Ciutat Vella;2;el Barri Gòtic;12;1030;2543
01/01/2026;1;Ciutat Vella;2;el Barri Gòtic;12;1031;1790
01/01/2026;1;Ciutat Vella;3;la Barceloneta;13;1032;1748
01/01/2026;1;Ciutat Vella;3;la Barceloneta;13;1033;1083
01/01/2026;1;Ciutat Vella;3;la Barceloneta;13;1034;997
01/01/2026;1;Ciutat Vella;3;la Barceloneta;14;1035;1151
01/01/2026;1;Ciutat Vella;3;la Barceloneta;14;1036;1147
01/01/2026;1;Ciutat Vella;3;la Barceloneta;15;1037;1304
01/01/2026;1;Ciutat Vella;3;la Barceloneta;15;1038;1428
01/01/2026;1;Ciutat Vella;3;la Barceloneta;15;1039;1344
01/01/2026;1;Ciutat Vella;3;la Barceloneta;15;1040;1076
01/01/2026;1;Ciutat Vella;3;la Barceloneta;15;1041;1543
01/01/2026;1;Ciutat Vella;3;la Barceloneta;15;1042;1844
01/01/2026;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;16;1043;1797
01/01/2026;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;16;1044;1412
01/01/2026;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;16;1045;2056
01/01/2026;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;16;1046;1919
01/01/2026;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;17;1047;1781
01/01/2026;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;17;1048;2263
01/01/2026;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;17;1049;1469
01/01/2026;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;18;1050;1593
01/01/2026;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;18;1051;1825
01/01/2026;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;18;1052;2410
01/01/2026;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;19;1053;1848
01/01/2026;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;19;1054;1234
01/01/2026;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;19;1055;1382
01/01/2026;2;Eixample;5;el Fort Pienc;20;2001;1344
01/01/2026;2;Eixample;5;el Fort Pienc;20;2002;5278
01/01/2026;2;Eixample;5;el Fort Pienc;20;2003;1119
01/01/2026;2;Eixample;5;el Fort Pienc;20;2004;1494
01/01/2026;2;Eixample;5;el Fort Pienc;20;2005;4045
01/01/2026;2;Eixample;5;el Fort Pienc;20;2006;1629
01/01/2026;2;Eixample;5;el Fort Pienc;20;2007;1283
01/01/2026;2;Eixample;5;el Fort Pienc;20;2008;1944
01/01/2026;2;Eixample;5;el Fort Pienc;20;2009;1717
01/01/2026;2;Eixample;5;el Fort Pienc;21;2010;1223
01/01/2026;2;Eixample;5;el Fort Pienc;21;2011;1110
01/01/2026;2;Eixample;5;el Fort Pienc;21;2012;1571
01/01/2026;2;Eixample;5;el Fort Pienc;21;2013;1368
01/01/2026;2;Eixample;5;el Fort Pienc;22;2014;1389
01/01/2026;2;Eixample;5;el Fort Pienc;22;2015;1662
01/01/2026;2;Eixample;5;el Fort Pienc;22;2016;1965
01/01/2026;2;Eixample;5;el Fort Pienc;22;2017;1978
01/01/2026;2;Eixample;5;el Fort Pienc;22;2018;1851
01/01/2026;2;Eixample;5;el Fort Pienc;22;2019;1989
01/01/2026;2;Eixample;5;el Fort Pienc;22;2020;1713
01/01/2026;2;Eixample;6;la Sagrada Família;23;2021;1511
01/01/2026;2;Eixample;6;la Sagrada Família;23;2022;1316
01/01/2026;2;Eixample;6;la Sagrada Família;23;2023;1013
