ID,Company,Type,Infrastructure,Type Infrastructure,City,Zip Code,Location,Address,Latitude,Longitude
CORREOS_CITYPAQ_BARCELONA_0828894,Correos Citypaq,Locker,Public,Locker,Barcelona,08007,BARCELONA SUC 33. RONDA UNIVERSITAT,Rda. Universitat 23,41.38687370422,2.16711650664
CORREOS_CITYPAQ_BARCELONA_0827394,Correos Citypaq,Locker,Public,Locker,Barcelona,08010,BARCELONA SUC 20. URQUINAONA,Car. Ausias March 13,41.39031740247,2.17428612195
CORREOS_CITYPAQ_BARCELONA_0825694,Correos Citypaq,Locker,Public,Locker,Barcelona,08007,BARCELONA SUC 1 PLAZA LETAMENDI,Pç. Letamendi 5-7,41.3894524464,2.16123945282
CORREOS_CITYPAQ_BARCELONA_0829694,Correos Citypaq,Locker,Public,Locker,Barcelona,08013,BARCELONA SUC 8. TETUÁN,Car. Consell De Cent 445,41.39775383383,2.17454816445
CORREOS_CITYPAQ_BARCELONA_0800010,Correos Citypaq,Locker,Public,Locker,Barcelona,08002,BARCELONA OP,Pç. Antonio López S/n,41.38192911682,2.18144336938
CORREOS_CITYPAQ_BARCELONA_0826294,Correos Citypaq,Locker,Public,Locker,Barcelona,08006,BARCELONA SUC 12. COMTE DE SALVATIERRA-VIA AUGUSTA,Car. Comte De Salvatierra 5,41.39620701512,2.15413768288
CORREOS_CITYPAQ_BARCELONA_0827594,Correos Citypaq,Locker,Public,Locker,Barcelona,08015,BARCELONA SUC 22. SANT ANTONI,Avd. Mistral 44,41.37639458134,2.15521814816
CORREOS_CITYPAQ_BARCELONA_0828994,Correos Citypaq,Locker,Public,Locker,Barcelona,08037,BARCELONA SUC 34. PS SANT JOAN,Ps. Sant Joan 196,41.40390476319,2.16392337385
CORREOS_CITYPAQ_BARCELONA_0829094,Correos Citypaq,Locker,Public,Locker,Barcelona,08029,BARCELONA SUC 35. CALABRIA-ROSELLO,Car. Calabria 235,41.38607985221,2.14657740249
CORREOS_CITYPAQ_BARCELONA_0828794,Correos Citypaq,Locker,Public,Locker,Barcelona,08012,BARCELONA SUC 32. GRACIA,Car. Gran De Gracia 118,41.4011062063,2.15398568507
CORREOS_CITYPAQ_BARCELONA_0870294,Correos Citypaq,Locker,Public,Locker,Barcelona,08005,BARCELONA SUC 16. LA VILA OLIMPICA,Car. Doctor Trueta 58-60,41.3923011431,2.19504844116
CORREOS_CITYPAQ_BARCELONA_0827794,Correos Citypaq,Locker,Public,Locker,Barcelona,08025,BARCELONA SUC 24. SAGRADA FAMILIA,Car. Castillejos 276,41.40719330084,2.17741969161
CORREOS_CITYPAQ_BARCELONA_0829194,Correos Citypaq,Locker,Public,Locker,Barcelona,08026,BARCELONA SUC 4. INDEPENDENCIA-ROSSELLÓ,Car. Independencia 333,41.40990854786,2.18060687363
CORREOS_CITYPAQ_BARCELONA_0829394,Correos Citypaq,Locker,Public,Locker,Barcelona,08004,BARCELONA SUC 5. HOSTAFRANCS,Gv. Corts Catalanes 282,41.37167648163,2.14489665657
CORREOS_CITYPAQ_BARCELONA_0827094,Correos Citypaq,Locker,Public,Locker,Barcelona,08024,BARCELONA SUC 2. EL GUINARDÓ,Car. Pau Alsina 131,41.4121369561,2.16015706548
CORREOS_CITYPAQ_BARCELONA_0829594,Correos Citypaq,Locker,Public,Locker,Barcelona,08021,BARCELONA SUC 7. VIA AUGUSTA,Car. Via Augusta 207,41.3978129009,2.13874520019
CORREOS_CITYPAQ_BARCELONA_0826594,Correos Citypaq,Locker,Public,Locker,Barcelona,08018,BARCELONA SUC 15. EL CLOT,Car. Rossend Nobas 31,41.40935987284,2.19018084476
CORREOS_CITYPAQ_BARCELONA_0870794,Correos Citypaq,Locker,Public,Locker,Barcelona,08014,BARCELONA SUC 44. WATT,Ps. Sant Antoni 16,41.37643033886,2.13693893461
CORREOS_CITYPAQ_BARCELONA_0827494,Correos Citypaq,Locker,Public,Locker,Barcelona,08005,BARCELONA SUC 21. POBLE NOU,Car. Ramon Turro 248-250,41.4017321503,2.20538894999
CORREOS_CITYPAQ_BARCELONA_0829494,Correos Citypaq,Locker,Public,Locker,Barcelona,08022,BARCELONA SUC 6. SANT GERVASI,Car. Balmes 421,41.40817680037,2.13793640072
CORREOS_CITYPAQ_BARCELONA_0826494,Correos Citypaq,Locker,Public,Locker,Barcelona,08017,BARCELONA SUC 14. LES TRES TORRES,Car. Castellnou 57,41.39643355159,2.12877540109
CORREOS_CITYPAQ_BARCELONA_0827694,Correos Citypaq,Locker,Public,Locker,Barcelona,08028,BARCELONA SUC 23. LES CORTS,Avd. Madrid 106,41.37880989953,2.12805649951
CORREOS_CITYPAQ_BARCELONA_0826994,Correos Citypaq,Locker,Public,Locker,Barcelona,08027,BARCELONA SUC 19. CONGRÈS,Car. Jordi De Sant Jordi 5-7,41.42119427623,2.18272777658
CORREOS_CITYPAQ_BARCELONA_0825794,Correos Citypaq,Locker,Public,Locker,Hospitalet De Llobregat (l'),08902,L'HOSPITALET DE LLOBREGAT SUC 1. SANTA EULALIA,Car. Marti Codolar 44,41.36806479898,2.12989754743
CORREOS_CITYPAQ_BARCELONA_0852894,Correos Citypaq,Locker,Public,Locker,Barcelona,08038,BARCELONA SUC 41. ALTS FORNS,Car. Alts Forns 65-67,41.35868953129,2.14083271321
CORREOS_CITYPAQ_BARCELONA_0828294,Correos Citypaq,Locker,Public,Locker,Barcelona,08035,BARCELONA SUC 29. VALL D`HEBRON,Car. Arenys 16-18,41.42194105115,2.141992149
CORREOS_CITYPAQ_BARCELONA_0826094,Correos Citypaq,Locker,Public,Locker,Barcelona,08031,BARCELONA SUC 10. HORTA,Car. Santiago Rusiñol 16-18,41.42834717544,2.1669419684
CORREOS_CITYPAQ_BARCELONA_0828094,Correos Citypaq,Locker,Public,Locker,Barcelona,08020,BARCELONA SUC 27. SANT MARTI,Rb. Guipuscoa 119,41.42084820462,2.20287034967
