ID,Company,Type,Infrastructure,Type Infrastructure,City,Zip Code,Location,Address,Latitude,Longitude
CORREOS_CITYPAQ_MADRID_2882294,Correos Citypaq,Locker,Public,Locker,Madrid,28013,MADRID SUC 86. CORTE INGLES CALLAO,Pz De Callao 2 Planta 8,40.4195161,-3.7049295
CORREOS_CITYPAQ_MADRID_2800010,Correos Citypaq,Locker,Public,Locker,Madrid,28014,MADRID OP,Po Prado 1,40.41865991352,-3.69260979274
CORREOS_CITYPAQ_MADRID_2830194,Correos Citypaq,Locker,Public,Locker,Madrid,28004,MADRID SUC 18. MALASAÑA,"Pizarro, 17",40.42330288685,-3.70580478433
CORREOS_CITYPAQ_MADRID_2884294,Correos Citypaq,Locker,Public,Locker,Madrid,28004,MADRID SUC 88. MEJÍA LEQUERICA,Cl De Mejía Lequerica 7,40.42660934613,-3.69819008103
CORREOS_CITYPAQ_MADRID_2828594,Correos Citypaq,Locker,Public,Locker,Madrid,28005,MADRID SUC 5. SAN FRANCISCO EL GRANDE,Cra De San Francisco 13,40.41062679874,-3.71330118629
CORREOS_CITYPAQ_MADRID_2828194,Correos Citypaq,Locker,Public,Locker,Madrid,28001,MADRID SUC 1. VILLANUEVA,Villanueva 30,40.42225970975,-3.68495456914
CORREOS_CITYPAQ_MADRID_2828794,Correos Citypaq,Locker,Public,Locker,Madrid,28012,MADRID SUC 7. EMBAJADORES,"Palos De La Frontera, 6-10",40.40274793942,-3.69988994509
CORREOS_CITYPAQ_MADRID_2829494,Correos Citypaq,Locker,Public,Locker,Madrid,28010,MADRID SUC 10. ALBURQUERQUE,"Alburquerque, 2",40.4311494956,-3.70312510343
CORREOS_CITYPAQ_MADRID_2828894,Correos Citypaq,Locker,Public,Locker,Madrid,28008,MADRID SUC 8. ARGÜELLES,"Martin De Los Heros, 57",40.42816165473,-3.71687023867
CORREOS_CITYPAQ_MADRID_2882394,Correos Citypaq,Locker,Public,Locker,Madrid,28008,MADRID SUC 73,Cl Andres Mellado 12,40.43158680541,-3.71449825227
CORREOS_CITYPAQ_MADRID_2828694,Correos Citypaq,Locker,Public,Locker,Madrid,28006,MADRID SUC 6. CLAUDIO COELLO,"Claudio Coello, 100",40.43359505154,-3.68559585063
CORREOS_CITYPAQ_MADRID_2833794,Correos Citypaq,Locker,Public,Locker,Madrid,28006,MADRID SUC 53.CONDE DE PEÑALVER,"Conde De Peñalver, 19",40.42658414868,-3.67561062081
CORREOS_CITYPAQ_MADRID_2830094,Correos Citypaq,Locker,Public,Locker,Madrid,28045,MADRID SUC 17. LEGAZPI,"Tomas Borras, 5-7",40.39542505017,-3.69689239438
CORREOS_CITYPAQ_MADRID_2830594,Correos Citypaq,Locker,Public,Locker,Madrid,28009,MADRID SUC 21. IBIZA,"Antonio Arias, 2",40.41788174053,-3.67150852384
CORREOS_CITYPAQ_MADRID_2832494,Correos Citypaq,Locker,Public,Locker,Madrid,28007,MADRID SUC 40. PACIFICO,"Av. Tellez, 27",40.40218759256,-3.67792808166
CORREOS_CITYPAQ_MADRID_2829894,Correos Citypaq,Locker,Public,Locker,Madrid,28019,MADRID SUC 15. MARQUÉS DE VADILLO,"Jacinto Verdaguer, 4",40.39621459896,-3.71419299573
