Provincias;Municipios;Secciones;Sexo;Edad;Periodo;Total
46 Valencia/València;46250 València;4625001001 València sección 01001;Total;Todas las edades;2025;890
46 Valencia/València;46250 València;4625001002 València sección 01002;Total;Todas las edades;2025;1.073
46 Valencia/València;46250 València;4625001003 València sección 01003;Total;Todas las edades;2025;1.254
46 Valencia/València;46250 València;4625001005 València sección 01005;Total;Todas las edades;2025;1.186
46 Valencia/València;46250 València;4625001007 València sección 01007;Total;Todas las edades;2025;857
46 Valencia/València;46250 València;4625001008 València sección 01008;Total;Todas las edades;2025;1.054
46 Valencia/València;46250 València;4625001009 València sección 01009;Total;Todas las edades;2025;1.140
46 Valencia/València;46250 València;4625001010 València sección 01010;Total;Todas las edades;2025;1.073
46 Valencia/València;46250 València;4625001011 València sección 01011;Total;Todas las edades;2025;1.513
46 Valencia/València;46250 València;4625001012 València sección 01012;Total;Todas las edades;2025;906
46 Valencia/València;46250 València;4625001013 València sección 01013;Total;Todas las edades;2025;1.489
46 Valencia/València;46250 València;4625001014 València sección 01014;Total;Todas las edades;2025;1.481
46 Valencia/València;46250 València;4625001017 València sección 01017;Total;Todas las edades;2025;744
46 Valencia/València;46250 València;4625001019 València sección 01019;Total;Todas las edades;2025;2.645
46 Valencia/València;46250 València;4625001022 València sección 01022;Total;Todas las edades;2025;1.501
46 Valencia/València;46250 València;4625001023 València sección 01023;Total;Todas las edades;2025;1.258
46 Valencia/València;46250 València;4625001024 València sección 01024;Total;Todas las edades;2025;1.237
46 Valencia/València;46250 València;4625001025 València sección 01025;Total;Todas las edades;2025;1.097
46 Valencia/València;46250 València;4625001026 València sección 01026;Total;Todas las edades;2025;1.718
46 Valencia/València;46250 València;4625001028 València sección 01028;Total;Todas las edades;2025;1.033
46 Valencia/València;46250 València;4625001030 València sección 01030;Total;Todas las edades;2025;890
46 Valencia/València;46250 València;4625001031 València sección 01031;Total;Todas las edades;2025;916
46 Valencia/València;46250 València;4625001032 València sección 01032;Total;Todas las edades;2025;1.380
46 Valencia/València;46250 València;4625001034 València sección 01034;Total;Todas las edades;2025;1.819
46 Valencia/València;46250 València;4625002001 València sección 02001;Total;Todas las edades;2025;1.044
46 Valencia/València;46250 València;4625002003 València sección 02003;Total;Todas las edades;2025;1.100
46 Valencia/València;46250 València;4625002004 València sección 02004;Total;Todas las edades;2025;1.646
46 Valencia/València;46250 València;4625002006 València sección 02006;Total;Todas las edades;2025;1.434
46 Valencia/València;46250 València;4625002008 València sección 02008;Total;Todas las edades;2025;1.331
46 Valencia/València;46250 València;4625002009 València sección 02009;Total;Todas las edades;2025;1.179
46 Valencia/València;46250 València;4625002010 València sección 02010;Total;Todas las edades;2025;955
46 Valencia/València;46250 València;4625002013 València sección 02013;Total;Todas las edades;2025;1.425
46 Valencia/València;46250 València;4625002014 València sección 02014;Total;Todas las edades;2025;857
46 Valencia/València;46250 València;4625002015 València sección 02015;Total;Todas las edades;2025;1.225
46 Valencia/València;46250 València;4625002016 València sección 02016;Total;Todas las edades;2025;1.483
46 Valencia/València;46250 València;4625002018 València sección 02018;Total;Todas las edades;2025;1.913
46 Valencia/València;46250 València;4625002019 València sección 02019;Total;Todas las edades;2025;1.184
46 Valencia/València;46250 València;4625002020 València sección 02020;Total;Todas las edades;2025;1.078
46 Valencia/València;46250 València;4625002021 València sección 02021;Total;Todas las edades;2025;825
46 Valencia/València;46250 València;4625002022 València sección 02022;Total;Todas las edades;2025;""
46 Valencia/València;46250 València;4625002023 València sección 02023;Total;Todas las edades;2025;1.274
46 Valencia/València;46250 València;4625002024 València sección 02024;Total;Todas las edades;2025;754
