Company,Type,Infrastructure,Type Infrastructure,City,Zip Code,Location,Address,Latitude,Longitude,Import_Source,Import_Classification,Data_Quality_Flag
Correos Citypaq,Locker,Public,Locker,Barcelona,,BARCELONA SUC 24. SAGRADA FAMILIA,Car. Castillejos 276,41.40719330084,2.17741969161,Correos CityPaq,Possibly new,
Correos Citypaq,Locker,Public,Locker,Barcelona,,BARCELONA SUC 15. EL CLOT,Car. Rossend Nobas 31,41.40935987284,2.19018084476,Correos CityPaq,Possibly new,
Correos Citypaq,Locker,Public,Locker,Barcelona,,BARCELONA SUC 23. LES CORTS,Avd. Madrid 106,41.37880989953,2.12805649951,Correos CityPaq,Possibly new,
Correos Citypaq,Locker,Public,Locker,Barcelona,,BARCELONA SUC 32. GRACIA,Car. Gran De Gracia 118,41.4011062063,2.15398568507,Correos CityPaq,Possibly new,
Correos Citypaq,Locker,Public,Locker,Barcelona,,BARCELONA SUC 7. VIA AUGUSTA,Car. Via Augusta 207,41.3978129009,2.13874520019,Correos CityPaq,Possibly new,
Correos Citypaq,Locker,Public,Locker,Barcelona,,BARCELONA SUC 21. POBLE NOU,Car. Ramon Turro 248-250,41.4017321503,2.20538894999,Correos CityPaq,Possibly new,
Correos Citypaq,Locker,Public,Locker,Barcelona,,BARCELONA SUC 8. TETUÁN,Car. Consell De Cent 445,41.39775383383,2.17454816445,Correos CityPaq,Possibly new,
Correos Citypaq,Locker,Public,Locker,Barcelona,,BARCELONA OP,Pç. Antonio López S/n,41.38192911682,2.18144336938,Correos CityPaq,Possibly new,
Correos Citypaq,Locker,Public,Locker,Barcelona,,BARCELONA SUC 1 PLAZA LETAMENDI,Pç. Letamendi 5-7,41.3894524464,2.16123945282,Correos CityPaq,Possibly new,
Correos Citypaq,Locker,Public,Locker,Barcelona,,BARCELONA SUC 41. ALTS FORNS,Car. Alts Forns 65-67,41.35868953129,2.14083271321,Correos CityPaq,Possibly new,
Correos Citypaq,Locker,Public,Locker,Barcelona,,BARCELONA SUC 4. INDEPENDENCIA-ROSSELLÓ,Car. Independencia 333,41.40990854786,2.18060687363,Correos CityPaq,Possibly new,
Correos Citypaq,Locker,Public,Locker,Barcelona,,BARCELONA SUC 19. CONGRÈS,Car. Jordi De Sant Jordi 5-7,41.42119427623,2.18272777658,Correos CityPaq,Possibly new,
Correos Citypaq,Locker,Public,Locker,Barcelona,,BARCELONA SUC 34. PS SANT JOAN,Ps. Sant Joan 196,41.40390476319,2.16392337385,Correos CityPaq,Possibly new,
Correos Citypaq,Locker,Public,Locker,Barcelona,,BARCELONA SUC 5. HOSTAFRANCS,Gv. Corts Catalanes 282,41.37167648163,2.14489665657,Correos CityPaq,Possibly new,
Correos Citypaq,Locker,Public,Locker,Barcelona,,BARCELONA SUC 12. COMTE DE SALVATIERRA-VIA AUGUSTA,Car. Comte De Salvatierra 5,41.39620701512,2.15413768288,Correos CityPaq,Possibly new,
Correos Citypaq,Locker,Public,Locker,Barcelona,,BARCELONA SUC 44. WATT,Ps. Sant Antoni 16,41.37643033886,2.13693893461,Correos CityPaq,Possibly new,
Correos Citypaq,Locker,Public,Locker,Barcelona,,BARCELONA SUC 6. SANT GERVASI,Car. Balmes 421,41.40817680037,2.13793640072,Correos CityPaq,Possibly new,
Correos Citypaq,Locker,Public,Locker,Barcelona,,BARCELONA SUC 2. EL GUINARDÓ,Car. Pau Alsina 131,41.4121369561,2.16015706548,Correos CityPaq,Possibly new,
Correos Citypaq,Locker,Public,Locker,Madrid,,MADRID SUC 13. AV DE AMERICA,"Av. America, 3",40.43784448712,-3.67727912237,Correos CityPaq,Possibly new,
Correos Citypaq,Locker,Public,Locker,Madrid,,MADRID SUC 60. CIUDAD UNIVERSITARIA,"Arqutecto Lopez Otero, 3",40.44385606239,-3.72864513566,Correos CityPaq,Possibly new,
Correos Citypaq,Locker,Public,Locker,Madrid,,MADRID SUC 86. CORTE INGLES CALLAO,Pz De Callao 2 Planta 8,40.4195161,-3.7049295,Correos CityPaq,Possibly new,
Correos Citypaq,Locker,Public,Locker,Madrid,,MADRID SUC 8. ARGÜELLES,"Martin De Los Heros, 57",40.42816165473,-3.71687023867,Correos CityPaq,Possibly new,
Correos Citypaq,Locker,Public,Locker,Madrid,,MADRID SUC 66. TORRE PICASSO,Pl. Pablo Ruiz Picasso 1 (torre Picasso),40.45007294849,-3.69306959784,Correos CityPaq,Possibly new,
Correos Citypaq,Locker,Public,Locker,València,,VALÈNCIA SUC 11. AUSÍAS MARCH,"Av. Ausias March, 56",39.45155840091,-0.37232449882,Correos CityPaq,Possibly new,
Correos Citypaq,Locker,Public,Locker,València,,VALÈNCIA OP,Pz Del Ayuntamiento 24,39.4693935703,-0.37573811672,Correos CityPaq,Possibly new,
Correos Citypaq,Locker,Public,Locker,València,,VALÈNCIA SUC 8. AV DEL CID,Av Del Cid 22,39.46757160063,-0.3932784988,Correos CityPaq,Possibly new,
Correos Citypaq,Locker,Public,Locker,València,,VALÈNCIA SUC 4. RUZAFA,"Sornells, 12",39.46081692693,-0.37116768651,Correos CityPaq,Possibly new,
Correos Citypaq,Locker,Public,Locker,València,,VALÈNCIA SUC 10. BENICALAP,Cl General Aviles 8,39.48591086589,-0.39397796029,Correos CityPaq,Possibly new,
Correos Citypaq,Locker,Public,Locker,València,,VALÈNCIA SUC 7. SAN VICENTE,"San Vicente Martir, 175",39.4587929,-0.3830704,Correos CityPaq,Possibly new,
Correos Citypaq,Locker,Public,Locker,València,,,Cr Del Riu 263,39.42434881,-0.34081154,Correos CityPaq,Possibly new,Missing location
