Provincias;Municipios;Secciones;Sexo;Edad;Periodo;Total
28 Madrid;28079 Madrid;2807901001 Madrid sección 01001;Total;Todas las edades;2025;1.192
28 Madrid;28079 Madrid;2807901002 Madrid sección 01002;Total;Todas las edades;2025;871
28 Madrid;28079 Madrid;2807901003 Madrid sección 01003;Total;Todas las edades;2025;1.900
28 Madrid;28079 Madrid;2807901004 Madrid sección 01004;Total;Todas las edades;2025;1.318
28 Madrid;28079 Madrid;2807901006 Madrid sección 01006;Total;Todas las edades;2025;1.722
28 Madrid;28079 Madrid;2807901007 Madrid sección 01007;Total;Todas las edades;2025;848
28 Madrid;28079 Madrid;2807901008 Madrid sección 01008;Total;Todas las edades;2025;748
28 Madrid;28079 Madrid;2807901009 Madrid sección 01009;Total;Todas las edades;2025;1.412
28 Madrid;28079 Madrid;2807901011 Madrid sección 01011;Total;Todas las edades;2025;1.078
28 Madrid;28079 Madrid;2807901012 Madrid sección 01012;Total;Todas las edades;2025;757
28 Madrid;28079 Madrid;2807901013 Madrid sección 01013;Total;Todas las edades;2025;1.210
28 Madrid;28079 Madrid;2807901014 Madrid sección 01014;Total;Todas las edades;2025;1.366
28 Madrid;28079 Madrid;2807901015 Madrid sección 01015;Total;Todas las edades;2025;1.562
28 Madrid;28079 Madrid;2807901016 Madrid sección 01016;Total;Todas las edades;2025;1.127
28 Madrid;28079 Madrid;2807901018 Madrid sección 01018;Total;Todas las edades;2025;1.697
28 Madrid;28079 Madrid;2807901019 Madrid sección 01019;Total;Todas las edades;2025;1.306
28 Madrid;28079 Madrid;2807901020 Madrid sección 01020;Total;Todas las edades;2025;1.281
28 Madrid;28079 Madrid;2807901021 Madrid sección 01021;Total;Todas las edades;2025;1.879
28 Madrid;28079 Madrid;2807901022 Madrid sección 01022;Total;Todas las edades;2025;1.274
28 Madrid;28079 Madrid;2807901023 Madrid sección 01023;Total;Todas las edades;2025;1.470
28 Madrid;28079 Madrid;2807901024 Madrid sección 01024;Total;Todas las edades;2025;1.232
28 Madrid;28079 Madrid;2807901025 Madrid sección 01025;Total;Todas las edades;2025;1.081
28 Madrid;28079 Madrid;2807901026 Madrid sección 01026;Total;Todas las edades;2025;1.486
28 Madrid;28079 Madrid;2807901027 Madrid sección 01027;Total;Todas las edades;2025;1.238
28 Madrid;28079 Madrid;2807901028 Madrid sección 01028;Total;Todas las edades;2025;1.628
28 Madrid;28079 Madrid;2807901029 Madrid sección 01029;Total;Todas las edades;2025;1.388
28 Madrid;28079 Madrid;2807901030 Madrid sección 01030;Total;Todas las edades;2025;1.066
28 Madrid;28079 Madrid;2807901031 Madrid sección 01031;Total;Todas las edades;2025;1.204
28 Madrid;28079 Madrid;2807901032 Madrid sección 01032;Total;Todas las edades;2025;2.255
28 Madrid;28079 Madrid;2807901033 Madrid sección 01033;Total;Todas las edades;2025;1.276
28 Madrid;28079 Madrid;2807901034 Madrid sección 01034;Total;Todas las edades;2025;1.698
28 Madrid;28079 Madrid;2807901035 Madrid sección 01035;Total;Todas las edades;2025;1.518
28 Madrid;28079 Madrid;2807901036 Madrid sección 01036;Total;Todas las edades;2025;1.187
28 Madrid;28079 Madrid;2807901037 Madrid sección 01037;Total;Todas las edades;2025;1.050
28 Madrid;28079 Madrid;2807901038 Madrid sección 01038;Total;Todas las edades;2025;1.632
28 Madrid;28079 Madrid;2807901039 Madrid sección 01039;Total;Todas las edades;2025;1.041
28 Madrid;28079 Madrid;2807901040 Madrid sección 01040;Total;Todas las edades;2025;862
28 Madrid;28079 Madrid;2807901041 Madrid sección 01041;Total;Todas las edades;2025;1.041
28 Madrid;28079 Madrid;2807901042 Madrid sección 01042;Total;Todas las edades;2025;1.080
