Index_1,Index_2,ID_1,ID_2,Company_1,Company_2,Type_1,Type_2,Group_1,Group_2,Location_1,Location_2,Address_1,Address_2,Distance_m,Address_Similarity,Location_Similarity,Address_Numbers_Available,Same_Address_Number,Same_Company,Same_Type,Same_Group,Should_Cluster,Pair_Classification,Pair_Rule
2,530,3,531,InPost,Amazon,Locker,Locker,PUDO,PUDO,Lockers 24/7 Saba Illa Raval Bar,Amazon Lockers - Busca,"C. de San Rafael, 15","C. de San Rafael, 15",7.7,100.0,38.46,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
3,535,4,536,InPost,Amazon,Convenience Stores,Convenience Stores,PUDO,PUDO,Copisteria Geografia Ub,Seur - Copisteria Geografia Ub,"Carrer de les Ramelleres, 21","Carrer de les Ramelleres, 21",30.76,100.0,90.2,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
4,527,5,528,InPost,Amazon,Convenience Stores,Convenience Stores,PUDO,PUDO,Copywork,Amazon Counter - Tech Plus,"C. de Joaquín Costa, 2","C. de Joaquín Costa, 2",2.83,100.0,18.75,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
4,528,5,529,InPost,Amazon,Convenience Stores,Convenience Stores,PUDO,PUDO,Copywork,Amazon Counter - Copywork,"C. de Joaquín Costa, 2","C. de Joaquín Costa, 2",2.83,100.0,51.61,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
4,526,5,527,InPost,Amazon,Convenience Stores,Convenience Stores,PUDO,PUDO,Copywork,Amazon Counter - Biz Services,"C. de Joaquín Costa, 2","Carrer del Carme, 70",20.18,41.03,17.14,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
4,1308,5,1309,InPost,Dhl,Convenience Stores,Convenience Stores,PUDO,PUDO,Copywork,Biz Services,"C. de Joaquín Costa, 2","Carrer del Carme, 70",21.18,41.03,10.0,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
4,1984,5,1985,InPost,UPS,Convenience Stores,Convenience Stores,PUDO,PUDO,Copywork,Biz Services,"C. de Joaquín Costa, 2","Carrer del Carme, 70",46.77,41.03,10.0,True,False,False,True,True,False,Different location,same group but distance > 30m
6,1310,7,1311,InPost,Dhl,Convenience Stores,Convenience Stores,PUDO,PUDO,Kiosco De Prensa,Estanco 080139,"Rda. de Sant Antoni, 100","Rda. de Sant Antoni, 100",9.51,100.0,26.67,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
6,1824,7,1825,InPost,Gls,Convenience Stores,Convenience Stores,PUDO,PUDO,Kiosco De Prensa,Ps Quiosco Marc Llinas617,"Rda. de Sant Antoni, 100","Rda. de Sant Antoni, 88",40.49,88.37,43.9,True,False,False,True,True,False,Different location,same group but distance > 30m
8,951,9,952,InPost,SEUR,Convenience Stores,Convenience Stores,PUDO,PUDO,Phonix The Smart Point,Copisteria Geografia Ub,"Carrer de Jovellanos, 1","Carrer de les Ramelleres, 21",49.6,65.31,17.78,True,False,False,True,True,False,Different location,same group but distance > 30m
9,952,10,953,InPost,SEUR,Convenience Stores,Convenience Stores,PUDO,PUDO,Fiber Sonic,Mobile House,"Carrer del Tigre, 33","Carrer del Tigre, 33",5.48,100.0,34.78,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
11,1990,12,1991,InPost,UPS,Convenience Stores,Convenience Stores,PUDO,PUDO,Te Habla Mobile Mobile,Missatgeria Les Mercedes,"Carrer de Josep Anselm Clavé, 27","Ptge. de la Pau, 13",34.33,33.33,39.13,True,False,False,True,True,False,Different location,same group but distance > 30m
11,1421,12,1422,InPost,Celeritas,Convenience Stores,Convenience Stores,PUDO,PUDO,Te Habla Mobile Mobile,Mensajerã­a Les Mercedes,"Carrer de Josep Anselm Clavé, 27","Ptge. de la Pau, 13",38.37,33.33,39.13,True,False,False,True,True,False,Different location,same group but distance > 30m
