Index_1,Index_2,ID_1,ID_2,Company_1,Company_2,Type_1,Type_2,Group_1,Group_2,Location_1,Location_2,Address_1,Address_2,Distance_m,Address_Similarity,Location_Similarity,Address_Numbers_Available,Same_Address_Number,Same_Company,Same_Type,Same_Group,Should_Cluster,Pair_Classification,Pair_Rule
2,530,3,531,InPost,Amazon,Locker,Locker,PUDO,PUDO,Lockers 24/7 Saba Illa Raval Bar,Amazon Lockers - Busca,"C. de San Rafael, 15","C. de San Rafael, 15",7.7,100.0,38.46,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
3,535,4,536,InPost,Amazon,Convenience Stores,Convenience Stores,PUDO,PUDO,Copisteria Geografia Ub,Seur - Copisteria Geografia Ub,"Carrer de les Ramelleres, 21","Carrer de les Ramelleres, 21",30.76,100.0,90.2,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
4,527,5,528,InPost,Amazon,Convenience Stores,Convenience Stores,PUDO,PUDO,Copywork,Amazon Counter - Tech Plus,"C. de Joaquín Costa, 2","C. de Joaquín Costa, 2",2.83,100.0,18.75,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
4,528,5,529,InPost,Amazon,Convenience Stores,Convenience Stores,PUDO,PUDO,Copywork,Amazon Counter - Copywork,"C. de Joaquín Costa, 2","C. de Joaquín Costa, 2",2.83,100.0,51.61,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
6,1310,7,1311,InPost,Dhl,Convenience Stores,Convenience Stores,PUDO,PUDO,Kiosco De Prensa,Estanco 080139,"Rda. de Sant Antoni, 100","Rda. de Sant Antoni, 100",9.51,100.0,26.67,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
9,952,10,953,InPost,SEUR,Convenience Stores,Convenience Stores,PUDO,PUDO,Fiber Sonic,Mobile House,"Carrer del Tigre, 33","Carrer del Tigre, 33",5.48,100.0,34.78,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
13,1883,14,1884,InPost,Mail Boxes Etc,Convenience Stores,Lsp Pudos,PUDO,PUDO,Estanc Bcn 159,MBE 0258,"Placeta de Montcada, 6","C/ de los Sombrereros, 25",12.18,36.36,27.27,True,False,False,False,True,True,Same group - close distance,same group and distance <= 15m
14,2194,15,2195,InPost,Pudo,Locker,Click&Collect,PUDO,PUDO,Lockers 24/7 Saba Barceloneta Ba,Saba Barceloneta,"Carrer del Baluard, 27S","Carrer del Baluard, 27",11.55,97.67,66.67,False,False,False,False,True,True,Same group - strong text match,same group and strong location/address match
14,1992,15,1993,InPost,UPS,Locker,Convenience Stores,PUDO,PUDO,Lockers 24/7 Saba Barceloneta Ba,Mail Boxes Etc 0341,"Carrer del Baluard, 27S","Carrer del Baluard, 36",30.76,88.37,31.37,False,False,False,False,True,True,Same group - strong text match,same group and strong location/address match
14,963,15,964,InPost,SEUR,Locker,Locker,PUDO,PUDO,Lockers 24/7 Saba Barceloneta Ba,Seur Lockers Saba Barcelon,"Carrer del Baluard, 27S","Carrer del Baluard, 27",33.75,97.67,72.41,False,False,False,True,True,True,Same group - strong text match,same group and strong location/address match
18,1547,19,1548,InPost,Ctt Express,Convenience Stores,Convenience Stores,PUDO,PUDO,Mega Mobile,Mega Mobile,"Carrer de Sant Pere Més Baix, 92","Carrer de Sant Pere Més Baix, 92",23.22,100.0,100.0,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
19,20,20,21,InPost,InPost,Convenience Stores,Convenience Stores,PUDO,PUDO,La Casa De Les Sabatilles,Mamy Blu,"Carrer de Sant Pere Més Alt, 76","Carrer de Méndez Núñez, 4",8.07,51.85,6.06,True,False,True,True,True,True,Same group - close distance,same group and distance <= 15m
21,1991,22,1992,InPost,UPS,Locker,Convenience Stores,PUDO,PUDO,Lockers 24/7 Parking Bamsa Franc,P Taquilla Saba Francesc Cambo,"Av. de Francesc Cambó, 10","Av. de Francesc Cambó, 10",9.85,100.0,35.48,True,True,False,False,True,True,Same group - strong text match,same group and strong location/address match
