Index_1,Index_2,ID_1,ID_2,Company_1,Company_2,Type_1,Type_2,Group_1,Group_2,Location_1,Location_2,Address_1,Address_2,Distance_m,Address_Similarity,Location_Similarity,Address_Numbers_Available,Same_Address_Number,Same_Company,Same_Type,Same_Group,Should_Cluster,Pair_Classification,Pair_Rule
4,526,5,527,InPost,Amazon,Convenience Stores,Convenience Stores,PUDO,PUDO,Copywork,Amazon Counter - Biz Services,"C. de Joaquín Costa, 2","Carrer del Carme, 70",20.18,41.03,17.14,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
4,1308,5,1309,InPost,Dhl,Convenience Stores,Convenience Stores,PUDO,PUDO,Copywork,Biz Services,"C. de Joaquín Costa, 2","Carrer del Carme, 70",21.18,41.03,10.0,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
16,969,17,970,InPost,SEUR,Convenience Stores,Locker,PUDO,PUDO,Instalaciones De La Fuente,Seur Lockers Caprabo Plaza,"Carrer de la Mediterrània, 4","Mercat Municipal de, Plaça de la Font, 1",26.86,36.92,19.23,True,False,False,False,True,False,Manual review,"same group, weak text match, distance 15-30m"
19,1540,20,1541,InPost,Ctt Express,Convenience Stores,Convenience Stores,PUDO,PUDO,La Casa De Les Sabatilles,Mã“Viles Fix It,"Carrer de Sant Pere Més Alt, 76","Carrer de Sant Pere Més Alt, 74",27.78,96.67,35.0,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
20,1540,21,1541,InPost,Ctt Express,Convenience Stores,Convenience Stores,PUDO,PUDO,Mamy Blu,Mã“Viles Fix It,"Carrer de Méndez Núñez, 4","Carrer de Sant Pere Més Alt, 74",19.76,55.56,34.78,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
22,554,23,555,InPost,Amazon,Convenience Stores,Locker,PUDO,PUDO,Envios Radas 25 Sl,Amazon Lockers - Sandalo,"Carrer de Radas, 9","Radas, Carrer de Radas, 11",18.44,78.05,35.0,True,False,False,False,True,False,Manual review,"same group, weak text match, distance 15-30m"
29,1910,30,1911,InPost,Nacex,Convenience Stores,Convenience Stores,PUDO,PUDO,La Matalasseria,Papeleria Nu&Ca,"Carrer del Roser, 6","Carrer del Roser, 5",18.48,94.44,33.33,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
29,1995,30,1996,InPost,UPS,Convenience Stores,Convenience Stores,PUDO,PUDO,La Matalasseria,Papereria Nu&Ca,"Carrer del Roser, 6","Carrer del Roser, 5",22.08,94.44,33.33,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
43,567,44,568,InPost,Amazon,Convenience Stores,Locker,PUDO,PUDO,Lestanc De Loscar,Amazon Lockers - Cherna,"Rbla. del Poblenou, 77","Carrer de Pujades, 171",20.68,43.9,42.11,True,False,False,False,True,False,Manual review,"same group, weak text match, distance 15-30m"
77,2183,78,2184,InPost,Pudo,Convenience Stores,Click&Collect,PUDO,PUDO,Optica Marcos,Parking Saba Urgell,Carrer De Tamarit 156,"Carrer del Comte d'Urgell, 12",20.68,57.14,31.25,True,False,False,False,True,False,Manual review,"same group, weak text match, distance 15-30m"
82,489,83,490,InPost,Correos,Convenience Stores,Lsp Pudos,PUDO,PUDO,Greyhounders Visual Click Bcn,Correos Barcelona Suc 32. Gracia,"Carrer Gran de Gràcia, 130","Carrer Gran de Gràcia, 118",23.49,92.0,13.33,True,False,False,False,True,False,Manual review,"same group, weak text match, distance 15-30m"
82,493,83,494,InPost,Correos,Convenience Stores,Locker,PUDO,PUDO,Greyhounders Visual Click Bcn,Correos Barcelona Suc 32. Gracia,"Carrer Gran de Gràcia, 130","Carrer Gran de Gràcia, 118",23.49,92.0,13.33,True,False,False,False,True,False,Manual review,"same group, weak text match, distance 15-30m"
85,2204,86,2205,InPost,Pudo,Convenience Stores,Click&Collect,PUDO,PUDO,Globus Amb Gracia,Saba Plaza Del Sol,"Plaça del Sol, 22","Plaça del Sol, 5",20.35,90.32,11.43,True,False,False,False,True,False,Manual review,"same group, weak text match, distance 15-30m"
85,2197,86,2198,InPost,Pudo,Convenience Stores,Click&Collect,PUDO,PUDO,Globus Amb Gracia,Saba Gracia Iii - Mallorca,"Plaça del Sol, 22","Plaça del Sol, 5",24.31,90.32,43.9,True,False,False,False,True,False,Manual review,"same group, weak text match, distance 15-30m"
103,1046,104,1047,InPost,SEUR,Locker,Convenience Stores,PUDO,PUDO,Lockers 24/7 Saba Vilardell Barc,Callpoint Locutorio,"C. Vilardell, 20","C. Vilardell, 22",15.95,92.86,19.61,True,False,False,False,True,False,Manual review,"same group, weak text match, distance 15-30m"
103,1602,104,1603,InPost,Ctt Express,Locker,Convenience Stores,PUDO,PUDO,Lockers 24/7 Saba Vilardell Barc,Call Point,"C. Vilardell, 20","C. Vilardell, 22",22.17,92.86,23.81,True,False,False,False,True,False,Manual review,"same group, weak text match, distance 15-30m"
103,105,104,106,InPost,InPost,Locker,Convenience Stores,PUDO,PUDO,Lockers 24/7 Saba Vilardell Barc,Call Point Locutorio,"C. Vilardell, 20","C. Vilardell, 22",27.6,92.86,19.23,True,False,True,False,True,False,Manual review,"same group, weak text match, distance 15-30m"
105,1051,106,1052,InPost,SEUR,Convenience Stores,Locker,PUDO,PUDO,Call Point Locutorio,Seur Lockers Saba Vilardel,"C. Vilardell, 22","C. Vilardell, 20",22.31,92.86,26.09,True,False,False,False,True,False,Manual review,"same group, weak text match, distance 15-30m"
117,1838,118,1839,InPost,Gls,Convenience Stores,Convenience Stores,PUDO,PUDO,Berlin Movil,Ps Quick Tech Repair Bcn,"Carrer de València, 37","Carrer d'Entença, 117",27.3,73.17,11.11,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
117,650,118,651,InPost,Amazon,Convenience Stores,Locker,PUDO,PUDO,Berlin Movil,Amazon Lockers - Lidia,"Carrer de València, 37","Carrer de València, 49",29.69,90.48,31.25,True,False,False,False,True,False,Manual review,"same group, weak text match, distance 15-30m"
