ID,Company,Type,Infrastructure,Type Infrastructure,City,Zip Code,Location,Address,Latitude,Longitude,Company_raw,Type_raw,Infrastructure_raw,Type Infrastructure_raw,City_raw,Location_raw,Address_raw,Zip Code_raw,Import_Source,Import_Classification,Data_Quality_Flag,Record_Service_Type_Code,Record_Service_Type_Name,Type_Group_Code,Type_Group_Name,Company_Normalized,Location_Normalized,Address_Normalized,Location_Cluster_ID,Cluster_Record_Count,Cluster_Company_Count,Has_Locker,Has_PUDO,Has_Click_Collect,Has_Distribution_Center,Has_Last_Mile_Station,Has_Warehouse,Has_Convenience_Store,Has_Unknown,Cluster_Service_Type_Code,Cluster_Service_Type_Name,Cluster_Sharing_Type_Code,Cluster_Sharing_Type_Name,Cluster_Diameter_m,Cluster_Spatial_Confidence_Code,Cluster_Spatial_Confidence_Name,Cluster_Companies,Cluster_Review_Required
1,InPost,Convenience Stores,Privada,Premises,Barcelona,8001,Mobil Mania,"Rambla del Raval, 6",41.3790044798589,2.16861812612738,InPost,Convenience stores,Private,Premises,Barcelona,Mobil Mania,"Rambla del Raval, 6",8001,,,,7,Convenience Store,1,PUDO,INPOST,MOBIL MANIA,RAMBLA DEL RAVAL 6,BAR_LOC_000001,1,1,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,InPost,False
2,InPost,Convenience Stores,Privada,Premises,Barcelona,8001,Impremta Sebtor,"Carrer de l'Hospital, 157",41.3796468300729,2.16641823962006,InPost,Convenience stores,Private,Premises,Barcelona,Impremta Sebtor,"Carrer de l'Hospital, 157",8001,,,,7,Convenience Store,1,PUDO,INPOST,IMPREMTA SEBTOR,CARRER DE L HOSPITAL 157,BAR_LOC_000002,1,1,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,InPost,False
3,InPost,Locker,Privada,Parking,Barcelona,8001,Lockers 24/7 Saba Illa Raval Bar,"C. de San Rafael, 15",41.3790928309256,2.17013296845583,InPost,Lockers,Private,Parking,Barcelona,Lockers 24/7 Saba Illa Raval Bar,"C. de San Rafael, 15",8001,,,,1,Locker,1,PUDO,INPOST,LOCKERS 24 7 SABA ILLA RAVAL BAR,C DE SAN RAFAEL 15,BAR_LOC_000003,2,2,True,False,False,False,False,False,False,False,1,Locker only,3,"Multiple companies, single service",7.7,1,High,Amazon | InPost,False
4,InPost,Convenience Stores,Privada,Premises,Barcelona,8001,Copisteria Geografia Ub,"Carrer de les Ramelleres, 21",41.3845661655895,2.16833741078451,InPost,Convenience stores,Private,Premises,Barcelona,Copisteria Geografia Ub,"Carrer de les Ramelleres, 21",8001,,,,7,Convenience Store,1,PUDO,INPOST,COPISTERIA GEOGRAFIA UB,CARRER DE LES RAMELLERES 21,BAR_LOC_000004,3,3,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",66.97,3,Review,Amazon | InPost | SEUR,True
5,InPost,Convenience Stores,Privada,Premises,Barcelona,8001,Copywork,"C. de Joaquín Costa, 2",41.3811768741445,2.16754441078435,InPost,Convenience stores,Private,Premises,Barcelona,Copywork,"C. de Joaquín Costa, 2",8001,,,,7,Convenience Store,1,PUDO,INPOST,COPYWORK,C DE JOAQUIN COSTA 2,BAR_LOC_000005,3,2,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",2.83,1,High,Amazon | InPost,False
6,InPost,Convenience Stores,Privada,Premises,Barcelona,8001,Madiha Fashion,"Carrer Nou de la Rambla, 22",41.3787205282092,2.17342318194849,InPost,Convenience stores,Private,Premises,Barcelona,Madiha Fashion,"Carrer Nou de la Rambla, 22",8001,,,,7,Convenience Store,1,PUDO,INPOST,MADIHA FASHION,CARRER NOU DE LA RAMBLA 22,BAR_LOC_000006,1,1,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,InPost,False
7,InPost,Convenience Stores,Privada,Kiosk,Barcelona,8001,Kiosco De Prensa,"Rda. de Sant Antoni, 100",41.3851349634043,2.16418198379915,InPost,Convenience stores,Private,Kiosk,Barcelona,Kiosco De Prensa,"Rda. de Sant Antoni, 100",8001,,,,7,Convenience Store,1,PUDO,INPOST,KIOSCO DE PRENSA,RDA DE SANT ANTONI 100,BAR_LOC_000007,2,2,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",9.51,1,High,Dhl | InPost,False
8,InPost,Convenience Stores,Privada,Premises,Barcelona,8001,Copypelai,"Carrer de Pelai, 9",41.3860884118811,2.16653153962034,InPost,Convenience stores,Private,Premises,Barcelona,Copypelai,"Carrer de Pelai, 9",8001,,,,7,Convenience Store,1,PUDO,INPOST,COPYPELAI,CARRER DE PELAI 9,BAR_LOC_000008,1,1,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,InPost,False
9,InPost,Convenience Stores,Privada,Premises,Barcelona,8001,Phonix The Smart Point,"Carrer de Jovellanos, 1",41.3850905660604,2.16788653962031,InPost,Convenience stores,Private,Premises,Barcelona,Phonix The Smart Point,"Carrer de Jovellanos, 1",8001,,,,7,Convenience Store,1,PUDO,INPOST,PHONIX THE SMART POINT,CARRER DE JOVELLANOS 1,BAR_LOC_000009,1,1,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,InPost,False
10,InPost,Convenience Stores,Privada,Premises,Barcelona,8001,Fiber Sonic,"Carrer del Tigre, 33",41.3823516214667,2.16386371078442,InPost,Convenience stores,Private,Premises,Barcelona,Fiber Sonic,"Carrer del Tigre, 33",8001,,,,7,Convenience Store,1,PUDO,INPOST,FIBER SONIC,CARRER DEL TIGRE 33,BAR_LOC_000010,2,2,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",5.48,1,High,InPost | SEUR,False
