ciudad,barrio,modelo,centro_logistico,paquetes,distancia_troncal_km,km_recorridos,numero_viajes,emisiones_co2_kg,costo_total_eur
barcelona,Eixample,M1: Furgoneta Combustión desde CC,DCT9 Amazon Logistics,416,5.7270384960727245,123.34476043899343,7,27.135847296578554,156.4235825567235
barcelona,Eixample,M2: Furgoneta Eléctrica desde CC,DCT9 Amazon Logistics,416,5.7270384960727245,123.34476043899343,7,0.0,135.67923648289278
barcelona,Eixample,M3: CC -> Microhub -> Bicicleta,DCT9 Amazon Logistics,416,5.7270384960727245,61.095231710217035,22,2.519896938271999,102.27754710044061
barcelona,Eixample,M4: CC -> PUDO -> Entrega a pie,DCT9 Amazon Logistics,416,5.7270384960727245,881.9737642322889,36,2.519896938271999,2534.540167286848
barcelona,Eixample,M5: CC -> PUDO -> Recogida Cliente,DCT9 Amazon Logistics,416,5.7270384960727245,881.9737642322889,417,24.282889119275584,213.15433464646546
barcelona,Ciutat Vella,M1: Furgoneta Combustión desde CC,DCT9 Amazon Logistics,256,6.158339435692853,89.16544619176133,5,19.61639816218749,113.07799767046096
barcelona,Ciutat Vella,M2: Furgoneta Eléctrica desde CC,DCT9 Amazon Logistics,256,6.158339435692853,89.16544619176133,5,0.0,98.08199081093747
barcelona,Ciutat Vella,M3: CC -> Microhub -> Bicicleta,DCT9 Amazon Logistics,256,6.158339435692853,44.03603848144343,14,2.7096693517048553,83.84783308268418
barcelona,Ciutat Vella,M4: CC -> PUDO -> Entrega a pie,DCT9 Amazon Logistics,256,6.158339435692853,423.72566590326784,23,2.7096693517048553,1230.6331375771426
barcelona,Ciutat Vella,M5: CC -> PUDO -> Recogida Cliente,DCT9 Amazon Logistics,256,6.158339435692853,423.72566590326784,257,12.994894027501909,133.54250549212358
barcelona,El Carmel,M1: Furgoneta Combustión desde CC,DCT9 Amazon Logistics,52,4.030748959731095,17.486099102251487,1,3.846941802495327,22.17555295240075
barcelona,El Carmel,M2: Furgoneta Eléctrica desde CC,DCT9 Amazon Logistics,52,4.030748959731095,17.486099102251487,1,0.0,19.234709012476635
barcelona,El Carmel,M3: CC -> Microhub -> Bicicleta,DCT9 Amazon Logistics,52,4.030748959731095,18.89978927966988,4,1.7735295422816817,60.007879991976054
barcelona,El Carmel,M4: CC -> PUDO -> Entrega a pie,DCT9 Amazon Logistics,52,4.030748959731095,69.64205054743684,6,1.7735295422816817,193.84248107169037
barcelona,El Carmel,M5: CC -> PUDO -> Recogida Cliente,DCT9 Amazon Logistics,52,4.030748959731095,69.64205054743684,53,3.313043357981048,29.627674063757986
