Analysis_City,Source_City,CityPaq_Row,CityPaq_Company,CityPaq_Location,CityPaq_Address,CityPaq_Latitude,CityPaq_Longitude,Match_Type,Nearest_Master_Row,Master_Company,Master_Location,Master_Address,Master_Latitude,Master_Longitude,Distance_m,Same_Company,Same_Address,Address_Similarity,Location_Similarity,CityPaq_Branch_ID,Master_Branch_ID,Same_Branch_ID,Same_City,Classification,Within_50m
Barcelona,Barcelona,26,Correos Citypaq,BARCELONA SUC 29. VALL D`HEBRON,Car. Arenys 16-18,41.42194105115,2.141992149,Nearest same company,73,Correos,Barcelona Suc 29. Vall D`Hebron,"Carrer d'Arenys, 16-18",41.4220501831563,2.14204627847735,12.95,True,False,86.49,100.0,29,29,True,True,"Existing branch, probable duplicate",True
Barcelona,Barcelona,7,Correos Citypaq,BARCELONA SUC 22. SANT ANTONI,Avd. Mistral 44,41.37639458134,2.15521814816,Nearest same company,22,Correos,Correos Barcelona Suc 22. Sepulveda,"Av. de Mistral, 44",41.3765687056845,2.15520364760172,19.4,True,False,93.33,61.29,22,22,True,True,"Existing branch, probable duplicate",True
Barcelona,Barcelona,21,Correos Citypaq,BARCELONA SUC 14. LES TRES TORRES,Car. Castellnou 57,41.39643355159,2.12877540109,Nearest same company,31,Correos,Correos Barcelona Suc 14. Les Tres Torres,"Carrer de Castellnou, 57",41.3966016835664,2.12869986764469,19.73,True,False,85.0,88.89,14,14,True,True,"Existing branch, probable duplicate",True
Barcelona,Barcelona,9,Correos Citypaq,BARCELONA SUC 35. CALABRIA-ROSELLO,Car. Calabria 235,41.38607985221,2.14657740249,Nearest same company,75,Correos,Barcelona Suc 35. Calabria-Rosello,"C. de Calabria, 235",41.3862502645595,2.14645582055884,21.49,True,False,84.85,100.0,35,35,True,True,"Existing branch, probable duplicate",True
Barcelona,Barcelona,27,Correos Citypaq,BARCELONA SUC 10. HORTA,Car. Santiago Rusiñol 16-18,41.42834717544,2.1669419684,Nearest same company,69,Correos,Oficina De Correos Suc 10,"Carrer de Santiago Rusiñol, 16-18",41.4285346884364,2.16687184744559,21.65,True,False,89.66,42.55,10,10,True,True,"Existing branch, probable duplicate",True
Barcelona,Barcelona,28,Correos Citypaq,BARCELONA SUC 27. SANT MARTI,Rb. Guipuscoa 119,41.42084820462,2.20287034967,Nearest same company,25,Correos,Correos Barcelona Suc 27. Sant Marti,"Rambla de Guipúscoa, 119",41.4210723115493,2.20283750537109,25.07,True,False,82.05,87.1,27,27,True,True,"Existing branch, probable duplicate",True
Barcelona,Barcelona,11,Correos Citypaq,BARCELONA SUC 16. LA VILA OLIMPICA,Car. Doctor Trueta 58-60,41.3923011431,2.19504844116,Nearest same company,14,Correos,Correos Barcelona Suc 16. La Vila Olimpica,"C. del Dr. Trueta, 58",41.3925164177069,2.19522124697576,27.94,True,False,68.29,89.19,16,16,True,True,"Existing branch, probable duplicate",True
Barcelona,Barcelona,2,Correos Citypaq,BARCELONA SUC 20. URQUINAONA,Car. Ausias March 13,41.39031740247,2.17428612195,Nearest same company,58,Correos,Correos Barcelona Suc 20. Urquinaona,"Carrer d'Ausiàs Marc, 13",41.3905120263741,2.174037362811,29.98,True,False,85.71,87.1,20,20,True,True,"Existing branch, probable duplicate",True
Barcelona,Barcelona,1,Correos Citypaq,BARCELONA SUC 33. RONDA UNIVERSITAT,Rda. Universitat 23,41.38687370422,2.16711650664,Nearest same company,60,Correos,Correos Barcelona Suc 33. Ronda Universitat,"Ronda de la Universidad, 23",41.3870189847678,2.1666723469701,40.42,True,False,72.73,89.47,33,33,True,True,"Existing branch, probable duplicate",True
Barcelona,Barcelona,12,Correos Citypaq,BARCELONA SUC 24. SAGRADA FAMILIA,Car. Castillejos 276,41.40719330084,2.17741969161,Nearest same company,18,Correos,Correos Barcelona Suc 24. Sagrada Familia,"Carrer de los Castillejos, 276",41.4076498819456,2.17736363301539,50.98,True,False,79.17,88.89,24,24,True,True,Possibly new,False
