Analysis_City,Source_City,CityPaq_Row,CityPaq_Company,CityPaq_Location,CityPaq_Address,CityPaq_Latitude,CityPaq_Longitude,Match_Type,Nearest_Master_Row,Master_Company,Master_Location,Master_Address,Master_Latitude,Master_Longitude,Distance_m,Same_Company,Same_Address,Address_Similarity,Location_Similarity,CityPaq_Branch_ID,Master_Branch_ID,Same_Branch_ID,Same_City,Classification,Within_50m
Barcelona,Barcelona,12,Correos Citypaq,BARCELONA SUC 24. SAGRADA FAMILIA,Car. Castillejos 276,41.40719330084,2.17741969161,Nearest same company,18,Correos,Correos Barcelona Suc 24. Sagrada Familia,"Carrer de los Castillejos, 276",41.4076498819456,2.17736363301539,50.98,True,False,79.17,88.89,24.0,24.0,True,True,Possibly new,False
Barcelona,Barcelona,17,Correos Citypaq,BARCELONA SUC 15. EL CLOT,Car. Rossend Nobas 31,41.40935987284,2.19018084476,Nearest same company,17,Correos,Correos Barcelona Suc 15. El Clot,"Carrer de Rossend Nobas, 31",41.4090530312734,2.18965419047256,55.62,True,False,86.96,85.71,15.0,15.0,True,True,Possibly new,False
Barcelona,Barcelona,22,Correos Citypaq,BARCELONA SUC 23. LES CORTS,Avd. Madrid 106,41.37880989953,2.12805649951,Nearest same company,66,Correos,Correos Barcelona Suc 23. Les Corts,"Av. de Madrid, 106",41.3793229014627,2.12808156052457,57.08,True,False,93.33,86.67,23.0,23.0,True,True,Possibly new,False
Barcelona,Barcelona,10,Correos Citypaq,BARCELONA SUC 32. GRACIA,Car. Gran De Gracia 118,41.4011062063,2.15398568507,Nearest same company,55,Correos,Correos Barcelona Suc 32. Gracia,"Carrer Gran de Gràcia, 118",41.401636463491,2.15391275381462,59.27,True,False,93.62,85.19,32.0,32.0,True,True,Possibly new,False
Barcelona,Barcelona,16,Correos Citypaq,BARCELONA SUC 7. VIA AUGUSTA,Car. Via Augusta 207,41.3978129009,2.13874520019,Nearest same company,27,Correos,Correos Barcelona Suc 7. Via Augusta,"Vía Augusta, 207",41.3982853926703,2.13832098806894,63.34,True,False,88.24,87.1,7.0,7.0,True,True,Possibly new,False
Barcelona,Barcelona,19,Correos Citypaq,BARCELONA SUC 21. POBLE NOU,Car. Ramon Turro 248-250,41.4017321503,2.20538894999,Nearest same company,2,Correos,Correos Barcelona Suc 21. Poble Nou,"Carrer de Ramon Turró, 248",41.4022138427678,2.20590386221512,68.65,True,False,79.17,86.67,21.0,21.0,True,True,Possibly new,False
Barcelona,Barcelona,4,Correos Citypaq,BARCELONA SUC 8. TETUÁN,Car. Consell De Cent 445,41.39775383383,2.17454816445,Nearest same company,57,Correos,Correos Barcelona Suc 8. Tetuan,"Calle del Consejo de Ciento, 445",41.3983812645151,2.17444660777575,70.28,True,False,74.07,84.62,8.0,8.0,True,True,Possibly new,False
Barcelona,Barcelona,5,Correos Citypaq,BARCELONA OP,Pç. Antonio López S/n,41.38192911682,2.18144336938,Nearest same company,35,Correos,Correos Barcelona Op,"Pl. de Correus, S/N, Ciutat Vella",41.3824360062265,2.18088289383968,73.24,True,False,32.0,75.0,,,False,True,Possibly new,False
Barcelona,Barcelona,3,Correos Citypaq,BARCELONA SUC 1 PLAZA LETAMENDI,Pç. Letamendi 5-7,41.3894524464,2.16123945282,Nearest same company,10,Correos,Correos Barcelona Suc 1 Plaza Letamendi,"Pl. del Dr. Letamendi, 5-7",41.3887359724653,2.16088127967393,85.09,True,False,76.92,88.57,1.0,1.0,True,True,Possibly new,False
Barcelona,Barcelona,25,Correos Citypaq,BARCELONA SUC 41. ALTS FORNS,Car. Alts Forns 65-67,41.35868953129,2.14083271321,Nearest same company,41,Correos,Condis,"Pg. de la Zona Franca, 168",41.3600466795694,2.13949751080658,187.59,True,False,18.18,24.24,41.0,,False,True,Possibly new,False
