Analysis_City,Source_City,CityPaq_Row,CityPaq_Company,CityPaq_Location,CityPaq_Address,CityPaq_Latitude,CityPaq_Longitude,Match_Type,Nearest_Master_Row,Master_Company,Master_Location,Master_Address,Master_Latitude,Master_Longitude,Distance_m,Same_Company,Same_Address,Address_Similarity,Location_Similarity,CityPaq_Branch_ID,Master_Branch_ID,Same_Branch_ID,Same_City,Classification,Within_50m
Madrid,Madrid,30,Correos Citypaq,MADRID SUC 55. SAN DIEGO-PALOMERAS BAJAS,"Sierra Carbonera, 75",40.38973178068,-3.66539416279,Nearest same company,174,Correos,Madrid Suc 55. San Diego-Palomeras Bajas,"C/ de Sierra Carbonera, 75",40.38973178068,-3.66539416279,0.0,True,False,88.37,100.0,55,55,True,True,"Existing branch, probable duplicate",True
Madrid,Madrid,22,Correos Citypaq,MADRID SUC 3. MAUDES,"Maudes, 39",40.44513553826,-3.69779840944,Nearest same company,13,Correos,Madrid Suc 3. Maudes,"Calle Maudes, 39",40.44513553826,-3.69779840944,0.0,True,False,75.0,100.0,3,3,True,True,"Existing branch, probable duplicate",True
Madrid,Madrid,26,Correos Citypaq,MADRID SUC 34. PLAZA ELÍPTICA,San Magin 5,40.38419540102,-3.71579699885,Nearest same company,90,Correos,Madrid Suc 34. Plaza ElãPtica,"C. de San Magín, 5",40.38419540102,-3.71579699885,0.0,True,False,81.48,94.74,34,34,True,True,"Existing branch, probable duplicate",True
Madrid,Madrid,20,Correos Citypaq,MADRID SUC 11. PUERTA DEL ANGEL,"Turismundo, 4-6",40.41158469993,-3.73521024932,Nearest same company,41,Correos,Madrid Suc 11. Puerta Del Angel,"TC. de Turismundo, 4",40.41158469993,-3.73521024932,0.0,True,False,75.0,100.0,11,11,True,True,"Existing branch, probable duplicate",True
Madrid,Madrid,16,Correos Citypaq,MADRID SUC 15. MARQUÉS DE VADILLO,"Jacinto Verdaguer, 4",40.39621459896,-3.71419299573,Nearest same company,64,Correos,Madrid Suc 15. Marquã‰S De Vadillo,"C. de Jacinto Verdaguer, 4",40.39621459896,-3.71419299573,0.0,True,False,88.37,95.38,15,15,True,True,"Existing branch, probable duplicate",True
Madrid,Madrid,29,Correos Citypaq,MADRID SUC 20. EL CARMEN,"Alcalde Lopez Casero, 3",40.4326520547,-3.65555632816,Nearest same company,95,Correos,Madrid Suc 20. El Carmen,"Calle Alcalde López Casero, 3",40.4326520547,-3.65555632816,0.0,True,False,88.0,100.0,20,20,True,True,"Existing branch, probable duplicate",True
Madrid,Madrid,13,Correos Citypaq,MADRID SUC 17. LEGAZPI,"Tomas Borras, 5-7",40.39542505017,-3.69689239438,Nearest same company,155,Correos,Madrid Suc 17. Legazpi,"C. de Tomás Borrás, 5-7",40.39542505017,-3.69689239438,0.0,True,False,86.49,100.0,17,17,True,True,"Existing branch, probable duplicate",True
Madrid,Madrid,23,Correos Citypaq,MADRID SUC 52. PUENTE DE VALLECAS,Cl Monte Olivetti 29,40.39748650986,-3.665962798,Nearest same company,123,Correos,Madrid Suc 52. Puente De Vallecas,"C. del Monte Oliveti, 29",40.39748650893,-3.665962798,0.0,True,False,90.48,100.0,52,52,True,True,"Existing branch, probable duplicate",True
Madrid,Madrid,11,Correos Citypaq,MADRID SUC 6. CLAUDIO COELLO,"Claudio Coello, 100",40.43359505154,-3.68559585063,Nearest same company,28,Correos,Madrid Suc 6. Claudio Coello,"Calle Coello, 100",40.43359505154,-3.68559585063,0.0,True,False,76.47,100.0,6,6,True,True,"Existing branch, probable duplicate",True
Madrid,Madrid,25,Correos Citypaq,MADRID SUC 39. MORATALAZ,Arroyo De La Media Legua 56,40.41036170021,-3.65582649981,Nearest same company,102,Correos,Madrid Suc 39. Moratalaz,"C. del Arroyo de la Media Legua, 56",40.41036170021,-3.65582649981,0.0,True,False,90.0,100.0,39,39,True,True,"Existing branch, probable duplicate",True
