Analysis_City,Source_City,CityPaq_Row,CityPaq_Company,CityPaq_Location,CityPaq_Address,CityPaq_Latitude,CityPaq_Longitude,Match_Type,Nearest_Master_Row,Master_Company,Master_Location,Master_Address,Master_Latitude,Master_Longitude,Distance_m,Same_Company,Same_Address,Address_Similarity,Location_Similarity,CityPaq_Branch_ID,Master_Branch_ID,Same_Branch_ID,Same_City,Classification,Within_50m
Valencia,València,8,Correos Citypaq,VALÈNCIA SUC 5. LA SAÏDIA,Av De La Constitución 111,39.49024260116,-0.37536418933,Nearest same company,1,Correos,Correos Valencia Suc 5. La SaãDia,"Av. de la Constitución, 111",39.49035630671944,-0.375452129865151,14.72,True,True,100.0,80.7,5,5,True,True,"Existing branch, probable duplicate",True
Valencia,València,7,Correos Citypaq,VALÈNCIA SUC 2. PATRAIX,Cl Jeronima Gales 20,39.45403685084,-0.38989625084,Nearest same company,31,Correos,Correos Valencia Suc 12. Benimaclet,"Av. Primado Reig, 129",39.45417570876217,-0.389931655009256,15.74,True,False,46.15,60.71,2,12,False,True,Manual review,True
Valencia,València,10,Correos Citypaq,VALÈNCIA SUC 13. ALGIRÒS,"Poeta Mas Y Ros, 20",39.47084895025,-0.34978804935,Nearest same company,6,Correos,Correos Valencia Suc 13. Algirã’s,"C. del Poeta Mas y Ros, 20",39.47105061897009,-0.3497979010943048,22.44,True,False,85.71,80.0,13,13,True,True,"Existing branch, probable duplicate",True
Valencia,València,5,Correos Citypaq,VALÈNCIA SUC 12. BENIMACLET,Av. Primado Reig 129,39.4837460745,-0.36255074678,Nearest same company,30,Correos,Oceanografic De Valencia,"C. de Eduardo Primo Yúfera, 1",39.48404428850442,-0.3624147804069448,35.15,True,False,47.83,32.0,12,,False,True,Manual review,True
Valencia,València,6,Correos Citypaq,VALÈNCIA SUC 11. AUSÍAS MARCH,"Av. Ausias March, 56",39.45155840091,-0.37232449882,Nearest same company,23,Correos,Supermercados Consum,"C. na Rovella, 4",39.45094275820016,-0.3722702652940619,68.61,True,False,18.75,29.17,11,,False,True,Possibly new,False
Valencia,València,1,Correos Citypaq,VALÈNCIA OP,Pz Del Ayuntamiento 24,39.4693935703,-0.37573811672,Nearest same company,10,Correos,Estacion De Metro Xativa,"C. Xátiva, s/n",39.46761031087426,-0.3768970377143659,221.85,True,False,17.65,11.43,,,False,True,Possibly new,False
Valencia,València,4,Correos Citypaq,VALÈNCIA SUC 8. AV DEL CID,Av Del Cid 22,39.46757160063,-0.3932784988,Nearest same company,2,Correos,Supermercados Consum,"C/ Angel Guimera, 70",39.46979785891765,-0.3909711411682767,317.03,True,False,38.71,31.11,8,,False,True,Possibly new,False
Valencia,València,2,Correos Citypaq,VALÈNCIA SUC 4. RUZAFA,"Sornells, 12",39.46081692693,-0.37116768651,Nearest same company,4,Correos,Supermercados Consum,"C. de Sueca, 34",39.46141306231918,-0.3750785067165566,342.22,True,False,25.0,24.39,4,,False,True,Possibly new,False
Valencia,València,9,Correos Citypaq,VALÈNCIA SUC 10. BENICALAP,Cl General Aviles 8,39.48591086589,-0.39397796029,Nearest same company,12,Correos,Correos Valencia Suc 10. Benicalap,"Av. del General Avilés, 8",39.48837160586209,-0.3913537116204853,354.38,True,False,85.71,86.21,10,10,True,True,Possibly new,False
Valencia,València,3,Correos Citypaq,VALÈNCIA SUC 7. SAN VICENTE,"San Vicente Martir, 175",39.4587929,-0.3830704,Nearest same company,26,Correos,Supermercados Consum,"C. San Vicente Mártir, 136",39.4637948124916,-0.3821590036792012,561.66,True,False,86.96,21.74,7,,False,True,Possibly new,False
Valencia,València,11,Correos Citypaq,,Cr Del Riu 263,39.42434881,-0.34081154,Nearest same company,29,Correos,Correos Valencia Suc 7. San Vicente,"C. San Vicente Mártir, 7",39.45373609621317,-0.3461698004126121,3299.96,True,False,16.67,0.0,,7,False,True,Possibly new,False
Valencia,Vinalesa,12,Correos Citypaq,,"C/ La Fila, 1 (vinalesa)",39.53867587,-0.36992935,Nearest same company,24,Correos,Supermercados Consum,Av. Levante Ud S/N,39.49625055176592,-0.388874069027784,4989.53,True,False,37.84,0.0,,,False,False,Outside analysis city,False
Valencia,Albalat Dels Sorells,13,Correos Citypaq,,Reyes Catolicos 14 - Albalat Dels Sorells,39.54008525,-0.34529946,Nearest same company,17,Correos,Galp,"C/ Emilio Baró, 69",39.48995046020082,-0.3604549257557267,5724.32,True,False,29.09,0.0,,,False,False,Outside analysis city,False
Valencia,Albuixech,14,Correos Citypaq,,C/ Mayor 36 Bajo - Albuixech,39.54143388,-0.34687407,Nearest same company,17,Correos,Galp,"C/ Emilio Baró, 69",39.48995046020082,-0.3604549257557267,5842.03,True,False,43.9,0.0,,,False,False,Outside analysis city,False
