Index_1,Index_2,ID_1,ID_2,Company_1,Company_2,Type_1,Type_2,Group_1,Group_2,Location_1,Location_2,Address_1,Address_2,Distance_m,Address_Similarity,Location_Similarity,Address_Numbers_Available,Same_Address_Number,Same_Company,Same_Type,Same_Group,Should_Cluster,Pair_Classification,Pair_Rule
0,769,1,770,InPost,Amazon,Locker,Locker,PUDO,PUDO,Supermercado Dia,Lockers Arruda,"Calle de Nuñez de Balboa, 32","Calle de Núñez de Balboa, 32",2.84,100.0,26.67,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
1,1321,2,1322,InPost,SEUR,Locker,Locker,PUDO,PUDO,24/7 Parking Ayala Grupo,Parking,"Cl. de Ayala, 38","Cl. de Ayala, 38",39.15,100.0,45.16,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
2,772,3,773,InPost,Amazon,Convenience Stores,Convenience Stores,PUDO,PUDO,Grupo Hicorsa Artes Graficas,Grupo Hicorsa Artes Gráficas S.A.,"Calle de Goya, 43","Calle de Goya, 43",3.69,100.0,93.33,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
2,2635,3,2636,InPost,Gls,Convenience Stores,Convenience Stores,PUDO,PUDO,Grupo Hicorsa Artes Graficas,Ps Gls Dis Grupo Hicorsa Artes Gráficas S.A.,"Calle de Goya, 43","Calle de Goya, 43, Galeria Comercial l160",5.84,58.18,78.87,True,True,False,True,True,True,Same group - close distance,same group and distance <= 15m
2,2225,3,2226,InPost,Ctt Express,Convenience Stores,Convenience Stores,PUDO,PUDO,Grupo Hicorsa Artes Graficas,Grupo Hicorsa Artes Gráficas S.A.,"Calle de Goya, 43","Calle de Goya, 43",5.92,100.0,93.33,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
5,774,6,775,InPost,Amazon,Convenience Stores,Convenience Stores,PUDO,PUDO,La Capital,La Capital Del Movil,"Calle del Gral. Pardiñas, 3","Calle del Gral. Pardiñas, 3",0.0,100.0,66.67,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
5,1918,6,1919,InPost,Dhl,Convenience Stores,Convenience Stores,PUDO,PUDO,La Capital,La Capital Del Movil,"Calle del Gral. Pardiñas, 3","Calle del Gral. Pardiñas, 3",5.44,100.0,66.67,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
13,777,14,778,InPost,Amazon,Locker,Locker,PUDO,PUDO,Supermercado Dia,Lockers Dobson,"C. de Eugenio Salazar, 27","C. de Eugenio Salazar, 27",42.13,100.0,26.67,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
14,2870,15,2872,InPost,UPS,Convenience Stores,Convenience Stores,PUDO,PUDO,Mioptico Lopez De Hoyos,Mioptico,"C. de López de Hoyos, 135","C. de López de Hoyos, 135",5.31,100.0,51.61,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
17,785,18,786,InPost,Amazon,Locker,Locker,PUDO,PUDO,Parking Clara Del Rey,Lockers Tarodo,"C. de Clara del Rey, 32","C. de Clara del Rey, 32",7.43,100.0,17.14,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
