Index_1,Index_2,ID_1,ID_2,Company_1,Company_2,Type_1,Type_2,Group_1,Group_2,Location_1,Location_2,Address_1,Address_2,Distance_m,Address_Similarity,Location_Similarity,Address_Numbers_Available,Same_Address_Number,Same_Company,Same_Type,Same_Group,Should_Cluster,Pair_Classification,Pair_Rule
11,794,12,795,InPost,Amazon,Convenience Stores,Convenience Stores,PUDO,PUDO,Locutorio Robert Multiservices,Jose Locutorios,"C. de Vinaroz, 2","C. Luis Vives, 19",25.61,41.38,44.44,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
11,2235,12,2236,InPost,Ctt Express,Convenience Stores,Convenience Stores,PUDO,PUDO,Locutorio Robert Multiservices,Locutorio Prosperidad,"C. de Vinaroz, 2","C. Luis Vives, 19, local izqdo",27.13,34.15,58.82,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
11,2237,12,2238,InPost,Ctt Express,Convenience Stores,Convenience Stores,PUDO,PUDO,Locutorio Robert Multiservices,Jose Locutorios,"C. de Vinaroz, 2","C. Luis Vives, 19, local d",27.13,37.84,44.44,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
14,2229,15,2230,InPost,Ctt Express,Convenience Stores,Convenience Stores,PUDO,PUDO,Mioptico Lopez De Hoyos,Expendeduria De Tabaco 532,"C. de López de Hoyos, 135","C. de López de Hoyos, 174",27.05,91.3,28.57,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
16,3002,17,3004,InPost,UPS,Convenience Stores,Convenience Stores,PUDO,PUDO,Luisipo,Aut Lara Av America,"C. de Clara del Rey, 2","C. de Cartagena, 110",24.54,52.63,15.38,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
16,3165,17,3167,InPost,Pudo,Convenience Stores,Click&Collect,PUDO,PUDO,Luisipo,Autoescuela Lara Avda De América,"C. de Clara del Rey, 2","C. de Cartagena, 110",27.55,52.63,10.26,True,False,False,False,True,False,Manual review,"same group, weak text match, distance 15-30m"
16,1652,17,1653,InPost,SEUR,Convenience Stores,Locker,PUDO,PUDO,Luisipo,Seur Lockers Lara Avda Ame,"C. de Clara del Rey, 2","C. de Cartagena, 110",29.94,52.63,12.12,True,False,False,False,True,False,Manual review,"same group, weak text match, distance 15-30m"
42,2643,43,2644,InPost,Gls,Locker,Convenience Stores,PUDO,PUDO,Money Exchange Fuencarral,Ps Moex Fuencarral,Calle de Fuencarral & C. de las Infantas,"C. de las Infantas, 1",16.91,60.71,69.77,False,False,False,False,True,False,Manual review,"same group, weak text match, distance 15-30m"
42,2330,43,2331,InPost,Ctt Express,Locker,Convenience Stores,PUDO,PUDO,Money Exchange Fuencarral,Sae Vigo,Calle de Fuencarral & C. de las Infantas,"C. de las Infantas, 1",19.53,60.71,18.18,False,False,False,False,True,False,Manual review,"same group, weak text match, distance 15-30m"
43,2259,44,2260,InPost,Ctt Express,Convenience Stores,Convenience Stores,PUDO,PUDO,Locker Parking Latina,Mehdi Telcom,"C. de Toledo, 88","C. de Toledo, 90",20.13,85.71,12.12,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
