Location_Cluster_ID,Merged_Record_Count,Main_Type,id_final,Location,Address,Latitude,Longitude,Capacity_Sum,Zip_Code,ID,Company,Type,Infrastructure,Type Infrastructure,City,Company_raw,Type_raw,Infrastructure_raw,Type Infrastructure_raw,City_raw,Location_raw,Address_raw,Zip Code_raw,Import_Source,Import_Classification,Data_Quality_Flag,Record_Service_Type_Code,Record_Service_Type_Name,Type_Group_Code,Cluster_Record_Count,Cluster_Company_Count,Has_Locker,Has_PUDO,Has_Click_Collect,Has_Distribution_Center,Has_Last_Mile_Station,Has_Warehouse,Has_Convenience_Store,Has_Unknown,Cluster_Service_Type_Code,Cluster_Service_Type_Name,Cluster_Sharing_Type_Code,Cluster_Sharing_Type_Name,Cluster_Diameter_m,Cluster_Spatial_Confidence_Code,Cluster_Spatial_Confidence_Name,Cluster_Companies,Cluster_Review_Required
MAD_LOC_000001,2,PUDO,1,Supermercado Dia,"Calle de Nuñez de Balboa, 32",40.4259218465805,-3.68208097292823,120,28001.0,1 + 770,InPost + Amazon,Locker,Privada,Supermarket + Premises,Madrid,InPost + Amazon,Lockers,Private,Supermarket + Premises,Madrid,Supermercado Dia + Lockers Arruda,"Calle de Nuñez de Balboa, 32 + Calle de Núñez de Balboa, 32",28001 + 28001,,,,1 + 1,Locker + Locker,1,2,2,True,False,False,False,False,False,False,False,1,Locker only,3,"Multiple companies, single service",2.84,1,High,Amazon | InPost + Amazon | InPost,False
MAD_LOC_000003,4,PUDO,3,Grupo Hicorsa Artes Graficas,"Calle de Goya, 43",40.42544911386783,-3.6829077388721876,480,28001.0,3 + 773 + 2226 + 2636,InPost + Amazon + Ctt Express + Gls,Convenience Stores,Privada,Premises,Madrid,InPost + Amazon + CTT Express + GLS,Convenience stores,Private,Premises,Madrid,Grupo Hicorsa Artes Graficas + Grupo Hicorsa Artes Gráficas S.A. + Grupo Hicorsa Artes Gráficas S.A. + Ps Gls Dis Grupo Hicorsa Artes Gráficas S.A.,"Calle de Goya, 43 + Calle de Goya, 43 + Calle de Goya, 43 + Calle de Goya, 43, Galeria Comercial l160",28001 + 28001 + 28001 + 28001,,,,7 + 7 + 7 + 7,Convenience Store + Convenience Store + Convenience Store + Convenience Store,1,4,4,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",8.48,1,High,Amazon | Ctt Express | Gls | InPost + Amazon | Ctt Express | Gls | InPost + Amazon | Ctt Express | Gls | InPost + Amazon | Ctt Express | Gls | InPost,False
MAD_LOC_000006,3,PUDO,6,La Capital,"Calle del Gral. Pardiñas, 3",40.424012986126534,-3.6788709194101403,360,28001.0,6 + 775 + 1919,InPost + Amazon + Dhl,Convenience Stores,Privada,Premises,Madrid,InPost + Amazon + DHL,Convenience stores,Private,Premises,Madrid,La Capital + La Capital Del Movil + La Capital Del Movil,"Calle del Gral. Pardiñas, 3 + Calle del Gral. Pardiñas, 3 + Calle del Gral. Pardiñas, 3",28001 + 28001 + 28001,,,,7 + 7 + 7,Convenience Store + Convenience Store + Convenience Store,1,3,3,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",5.44,1,High,Amazon | Dhl | InPost + Amazon | Dhl | InPost + Amazon | Dhl | InPost,False
MAD_LOC_000015,2,PUDO,15,Mioptico Lopez De Hoyos,"C. de López de Hoyos, 135",40.44727304766385,-3.6698057173244196,240,28002.0,15 + 2872,InPost + UPS,Convenience Stores,Privada,Premises,Madrid,InPost + UPS,Convenience stores,Private,Premises,Madrid,Mioptico Lopez De Hoyos + Mioptico,"C. de López de Hoyos, 135 + C. de López de Hoyos, 135",28002 + 28002,,,,7 + 7,Convenience Store + Convenience Store,1,2,2,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",5.31,1,High,InPost | UPS + InPost | UPS,False
MAD_LOC_000018,2,PUDO,18,Parking Clara Del Rey,"C. de Clara del Rey, 32",40.4434206605702,-3.66867834500266,120,28002.0,18 + 786,InPost + Amazon,Locker,Privada,Parking + Supermarket,Madrid,InPost + Amazon,Lockers,Private,Parking + Supermarket,Madrid,Parking Clara Del Rey + Lockers Tarodo,"C. de Clara del Rey, 32 + C. de Clara del Rey, 32",28002 + 28002,,,,1 + 1,Locker + Locker,1,2,2,True,False,False,False,False,False,False,False,1,Locker only,3,"Multiple companies, single service",7.43,1,High,Amazon | InPost + Amazon | InPost,False
MAD_LOC_000019,4,PUDO,19,Chip Inside,"C. de Clara del Rey, 20",40.442352353291575,-3.67036748579488,480,28002.0,19 + 1339 + 2048 + 2233,InPost + SEUR + Celeritas + Ctt Express,Convenience Stores,Privada,Premises,Madrid,InPost + Seur + Celeritas + CTT Express,Convenience stores,Private,Premises,Madrid,Chip Inside + Chip Inside + Chip Inside + Chip Inside,"C. de Clara del Rey, 20 + C. de Clara del Rey, 20 + C. de Clara del Rey, 20 + C. de Clara del Rey, 20",28002 + 28002 + 28002 + 28002,,,,7 + 7 + 7 + 7,Convenience Store + Convenience Store + Convenience Store + Convenience Store,1,4,4,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",6.09,1,High,Celeritas | Ctt Express | InPost | SEUR + Celeritas | Ctt Express | InPost | SEUR + Celeritas | Ctt Express | InPost | SEUR + Celeritas | Ctt Express | InPost | SEUR,False
MAD_LOC_000027,2,PUDO,27,Baez Locutorio,"C. de Espronceda, 9",40.44105621693955,-3.698156657485875,240,28003.0,27 + 2244,InPost + Ctt Express,Convenience Stores,Privada,Premises,Madrid,InPost + CTT Express,Convenience stores,Private,Premises,Madrid,Baez Locutorio + Báez Locutorio,"C. de Espronceda, 9 + C. de Espronceda, 9",28003 + 28003,,,,7 + 7,Convenience Store + Convenience Store,1,2,2,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",10.33,1,High,Ctt Express | InPost + Ctt Express | InPost,False
MAD_LOC_000032,2,PUDO,32,Bicicletas Y Calzado,"Av. de la Reina Victoria, 51",40.4464760248666,-3.712038422736115,240,28003.0,32 + 2881,InPost + UPS,Convenience Stores,Privada,Premises,Madrid,InPost + UPS,Convenience stores,Private,Premises,Madrid,Bicicletas Y Calzado + Bicicletas Y Reparacion De Calzado,"Av. de la Reina Victoria, 51 + Av. de la Reina Victoria, 51",28003 + 28003,,,,7 + 7,Convenience Store + Convenience Store,1,2,2,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",7.81,1,High,InPost | UPS + InPost | UPS,False
MAD_LOC_000034,2,PUDO,34,El Jardin De Churruca,"C. de Churruca, 19",40.4282464373625,-3.701255507096815,240,28004.0,34 + 2624,InPost + Gls,Convenience Stores,Privada,Premises,Madrid,InPost + GLS,Convenience stores,Private,Premises,Madrid,El Jardin De Churruca + Ps El Jardín De Churruca,"C. de Churruca, 19 + C. de Churruca, 19",28004 + 28004,,,,7 + 7,Convenience Store + Convenience Store,1,2,2,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",18.93,2,Medium,Gls | InPost + Gls | InPost,False
MAD_LOC_000036,3,PUDO,36,Fotocopias Javipar,"C. de Loreto y Chicote, 13",40.42176461610914,-3.704417658950803,360,28004.0,36 + 1361 + 2627,InPost + SEUR + Gls,Convenience Stores,Privada,Premises,Madrid,InPost + Seur + GLS,Convenience stores,Private,Premises,Madrid,Fotocopias Javipar + Fotocopias Javipar + Ps Fotocopias Javipar,"C. de Loreto y Chicote, 13 + C. de Loreto y Chicote, 13 + C. de Loreto y Chicote, 13",28004 + 28004 + 28004,,,,7 + 7 + 7,Convenience Store + Convenience Store + Convenience Store,1,3,3,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",6.01,1,High,Gls | InPost | SEUR + Gls | InPost | SEUR + Gls | InPost | SEUR,False
