ciudad,barrio,modelo,centro_logistico,paquetes,distancia_troncal_km,km_recorridos,numero_viajes,emisiones_co2_kg,costo_total_eur
madrid,Lavapiés,M1: Furgoneta Combustión desde CC,Amazon Logistics DMA3,75,9.423646305105292,46.49599485399171,2,10.229118867878176,58.965375292107666
madrid,Lavapiés,M2: Furgoneta Eléctrica desde CC,Amazon Logistics DMA3,75,9.423646305105292,46.49599485399171,2,0.0,51.14559433939088
madrid,Lavapiés,M3: CC -> Microhub -> Bicicleta,Amazon Logistics DMA3,75,9.423646305105292,28.968913688816706,5,4.146404374246329,64.10898380713118
madrid,Lavapiés,M4: CC -> PUDO -> Entrega a pie,Amazon Logistics DMA3,75,9.423646305105292,81.6513773378205,8,4.146404374246329,213.45884094822122
madrid,Lavapiés,M5: CC -> PUDO -> Recogida Cliente,Amazon Logistics DMA3,75,9.423646305105292,81.6513773378205,76,5.716506492436577,45.98128167459476
madrid,Moratalaz,M1: Furgoneta Combustión desde CC,Amazon Logistics DMA3,72,4.614955533709756,28.97969916631368,2,6.37553381658901,36.7515275790978
madrid,Moratalaz,M2: Furgoneta Eléctrica desde CC,Amazon Logistics DMA3,72,4.614955533709756,28.97969916631368,2,0.0,31.877669082945047
madrid,Moratalaz,M3: CC -> Microhub -> Bicicleta,Amazon Logistics DMA3,72,4.614955533709756,21.32776965361537,5,2.0305804348322924,61.856211495844434
madrid,Moratalaz,M4: CC -> PUDO -> Entrega a pie,Amazon Logistics DMA3,72,4.614955533709756,103.33647408511713,7,2.0305804348322924,291.1042946941991
madrid,Moratalaz,M5: CC -> PUDO -> Recogida Cliente,Amazon Logistics DMA3,72,4.614955533709756,103.33647408511713,73,4.383244510274733,40.15345998033878
madrid,El Pardo,M1: Furgoneta Combustión desde CC,Amazon DMA2 Logística,16,9.617855330687831,20.48045834372402,1,4.505700835619285,25.97294489954092
madrid,El Pardo,M2: Furgoneta Eléctrica desde CC,Amazon DMA2 Logística,16,9.617855330687831,20.48045834372402,1,0.0,22.528504178096423
madrid,El Pardo,M3: CC -> Microhub -> Bicicleta,Amazon DMA2 Logística,16,9.617855330687831,20.667170496076274,2,4.231856345502646,55.15910262405469
madrid,El Pardo,M4: CC -> PUDO -> Entrega a pie,Amazon DMA2 Logística,16,9.617855330687831,23.130775098999177,3,4.231856345502646,27.042908297948422
madrid,El Pardo,M5: CC -> PUDO -> Recogida Cliente,Amazon DMA2 Logística,16,9.617855330687831,23.130775098999177,17,4.329232956443233,16.656069797619047
