Index_1,Index_2,ID_1,ID_2,Company_1,Company_2,Type_1,Type_2,Group_1,Group_2,Location_1,Location_2,Address_1,Address_2,Distance_m,Address_Similarity,Location_Similarity,Address_Numbers_Available,Same_Address_Number,Same_Company,Same_Type,Same_Group,Should_Cluster,Pair_Classification,Pair_Rule
1,812,2,813,InPost,Gls,Locker,Lsp Pudos,PUDO,PUDO,Carmen Laundry,GLS PS Encicle Ciutat Vella,"C. de Alejandra Soler, 9","C/ de Roger de Flor, 30",36.52,46.51,24.39,True,False,False,False,True,False,Different location,same group but distance > 30m
5,174,6,175,InPost,Amazon,Locker,Locker,PUDO,PUDO,Dia C/ Juan Llorens,Lockers - Herbosa,"C. de Juan Llorens, 10","C/ de Joan Llorenç, 10, Extramurs",15.73,72.0,30.3,True,True,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
5,196,6,197,InPost,Amazon,Locker,Locker,PUDO,PUDO,Dia C/ Juan Llorens,Lockers - Herbosa,"C. de Juan Llorens, 10","C. de Juan Llorens, 10",21.07,100.0,30.3,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
5,358,6,359,InPost,SEUR,Locker,Convenience Stores,PUDO,PUDO,Dia C/ Juan Llorens,Miimo Repair,"C. de Juan Llorens, 10","C. de Juan Llorens, 11",39.32,95.0,26.67,True,False,False,False,True,False,Different location,same group but distance > 30m
8,843,9,844,InPost,Nacex,Convenience Stores,Convenience Stores,PUDO,PUDO,Expendeduria 156,Estanco Valencia-156 (4604-17),"C. de Calixto III, 1","C. de Calixto III, 1",8.6,100.0,40.91,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
8,643,9,644,InPost,Ctt Express,Convenience Stores,Convenience Stores,PUDO,PUDO,Expendeduria 156,Expendeduría De Tabacos Valencia 156,"C. de Calixto III, 1","C. de Calixto III, 1",34.98,100.0,61.54,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
8,520,9,521,InPost,Celeritas,Convenience Stores,Convenience Stores,PUDO,PUDO,Expendeduria 156,Expendeduria 156,"C. de Calixto III, 1","C. de Calixto III, 1",41.07,100.0,100.0,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
9,778,10,779,InPost,Gls,Convenience Stores,Convenience Stores,PUDO,PUDO,Kalinopa,Ps Kalinopa,"Gran Vía de Fernando el Católico, 56","Gran Vía de Fernando el Católico, 56",22.58,100.0,84.21,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
9,181,10,182,InPost,Amazon,Convenience Stores,Convenience Stores,PUDO,PUDO,Kalinopa,Kalinopa,"Gran Vía de Fernando el Católico, 56","Gran Vía de Fernando el Católico, 56",36.68,100.0,100.0,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
12,817,13,818,InPost,Mail Boxes Etc,Convenience Stores,Lsp Pudos,PUDO,PUDO,Milar Gran Via,Mail Boxes Etc. 0285,"Gran Vía de Fernando el Católico, 3","Gran Vía de Fernando el Católico, 3",9.2,100.0,30.3,True,True,False,False,True,True,Same group - strong text match,same group and strong location/address match
13,598,14,599,InPost,Ctt Express,Convenience Stores,Convenience Stores,PUDO,PUDO,Naturalworld,Naturalworld,"Carrer de Roteros, 2","Pl. de los Fueros, 1",7.61,54.05,100.0,True,False,False,True,True,True,Same group - strong text match,same group and strong location/address match
13,865,14,866,InPost,UPS,Convenience Stores,Convenience Stores,PUDO,PUDO,Naturalworld,Naturalworld,"Carrer de Roteros, 2","Pl. de los Fueros, 1",11.11,54.05,100.0,True,False,False,True,True,True,Same group - strong text match,same group and strong location/address match
13,458,14,459,InPost,Dhl,Convenience Stores,Convenience Stores,PUDO,PUDO,Naturalworld,Naturalworld,"Carrer de Roteros, 2","Pl. de los Fueros, 1",12.35,54.05,100.0,True,False,False,True,True,True,Same group - strong text match,same group and strong location/address match
13,522,14,523,InPost,Celeritas,Convenience Stores,Convenience Stores,PUDO,PUDO,Naturalworld,Naturalworld,"Carrer de Roteros, 2","Pl. de los Fueros, 1",17.36,54.05,100.0,True,False,False,True,True,True,Same group - strong text match,same group and strong location/address match
14,361,15,362,InPost,SEUR,Convenience Stores,Locker,PUDO,PUDO,Plantas Y Flores Lantana,Seur Lockers Ipk Maria Mic,Calle de Sta. María Micaela,Calle de Sta. María Micaela S/N,4.54,92.86,24.0,False,False,False,False,True,True,Same group - strong text match,same group and strong location/address match
14,880,15,881,InPost,UPS,Convenience Stores,Locker,PUDO,PUDO,Plantas Y Flores Lantana,Intpkg S M Micaela,Calle de Sta. María Micaela,Calle de Sta. María Micaela,8.27,100.0,14.29,False,False,False,False,True,True,Same group - strong text match,same group and strong location/address match
14,972,15,973,InPost,Pudo,Convenience Stores,Click&Collect,PUDO,PUDO,Plantas Y Flores Lantana,Parking Interparking Santa María Micaela,Calle de Sta. María Micaela,"Carrer de Sta. Maria Micaela, s/n",42.72,84.21,31.25,False,False,False,False,True,True,Same group - strong text match,same group and strong location/address match
