City,Location_Cluster_ID,Representative_Latitude,Representative_Longitude,Record_Count,Company_Count,Companies,Addresses,Locations,Has_Locker,Has_PUDO,Has_Click_Collect,Has_Distribution_Center,Has_Last_Mile_Station,Has_Warehouse,Has_Convenience_Store,Has_Unknown,Cluster_Service_Type_Code,Cluster_Service_Type_Name,Cluster_Sharing_Type_Code,Cluster_Sharing_Type_Name,Cluster_Diameter_m,Cluster_Spatial_Confidence_Code,Cluster_Spatial_Confidence_Name,Cluster_Review_Required
valencia,VAL_LOC_000001,39.47310955975495,-0.377633211837713,1,1,InPost,"C. de María Cristina, 9",Perfumarte Maria Cristina,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000002,39.47756090944269,-0.3828099665562772,1,1,InPost,"C. de Alejandra Soler, 9",Carmen Laundry,True,False,False,False,False,False,False,False,1,Locker only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000003,39.47179659723847,-0.3784938211122619,1,1,InPost,"Calle del Músico Peydró, 30",Valira Tienda De Fabrica,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000004,39.47889580112418,-0.3812462309078208,1,1,InPost,"C/ de Ripalda, 20",Economy Print,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000005,39.47473011396571,-0.3901642470217949,1,1,InPost,"C. de Quart, 125",Carmen Laundry 2,True,False,False,False,False,False,False,False,1,Locker only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000006,39.47356343765982,-0.3913135158114307,1,1,InPost,"C. de Juan Llorens, 10",Dia C/ Juan Llorens,True,False,False,False,False,False,False,False,1,Locker only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000007,39.48075067455666,-0.3798377191040145,1,1,InPost,"C/ de Salvador Giner, 22",Superm Charter C/Salvado,True,False,False,False,False,False,False,False,1,Locker only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000008,39.47389899460428,-0.3896573891830816,1,1,InPost,C. de San Ignacio de Loyola,El Quiosc,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000009,39.47257181609439,-0.38670616346193454,2,2,InPost | Nacex,"C. de Calixto III, 1",Estanco Valencia-156 (4604-17) | Expendeduria 156,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",8.6,1,High,False
valencia,VAL_LOC_000010,39.473999706363465,-0.3868670342211692,1,1,InPost,"Gran Vía de Fernando el Católico, 56",Kalinopa,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000011,39.47034447468592,-0.3868492440298763,1,1,InPost,"C/ Angel Guimera, 30",Outlet Destino 8,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000012,39.48015886194766,-0.377359092388655,1,1,InPost,"C. de la Blanqueria, 9",Lacolada Ciutat Vella,True,False,False,False,False,False,False,False,1,Locker only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000013,39.469506177909025,-0.3846484034033351,2,2,InPost | Mail Boxes Etc,"Gran Vía de Fernando el Católico, 3",Mail Boxes Etc. 0285 | Milar Gran Via,False,True,False,False,False,False,True,False,7,Multiple services,4,"Multiple companies, multiple services",9.2,1,High,False
valencia,VAL_LOC_000014,39.47915177851796,-0.3763166011184274,5,5,Celeritas | Ctt Express | Dhl | InPost | UPS,"Carrer de Roteros, 2 | Pl. de los Fueros, 1",Naturalworld,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",25.15,2,Medium,False
valencia,VAL_LOC_000015,39.47227501897833,-0.39204007433106064,3,3,InPost | SEUR | UPS,Calle de Sta. María Micaela | Calle de Sta. María Micaela S/N,Intpkg S M Micaela | Plantas Y Flores Lantana | Seur Lockers Ipk Maria Mic,True,False,False,False,False,False,True,False,7,Multiple services,4,"Multiple companies, multiple services",12.78,1,High,False
valencia,VAL_LOC_000016,39.484222876226845,-0.3825261752885064,1,1,InPost,"Av. de Burjassot, 18",El Trebol Del Turia,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000017,39.46982701944097,-0.3902570590202066,2,2,Amazon | InPost,"C. de Martín el Humano, 30",Firdos Movil,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",1.84,1,High,False
valencia,VAL_LOC_000018,39.48456527859329,-0.3854917629750939,1,1,InPost,"C. del Padre Ferris, 28",Gimnasio Deportivo Okina,True,False,False,False,False,False,False,False,1,Locker only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000019,39.47706756476296,-0.3768830371436411,1,1,InPost,"Pl. de Manises, 1",Estanco N 3,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000020,39.471498689873805,-0.3838940968876781,1,1,InPost,"C/ Guillem de Castro, 69",Bazar 28 De Septiembre,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000021,39.47389837850953,-0.4004610214738694,1,1,InPost,"C/ de la Democracia, 50",Estanco Maria,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000022,39.47133502476721,-0.39815530835416885,3,3,Celeritas | Ctt Express | InPost,"C. Manolo Taberner, 38",Eurollibreria,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",19.17,2,Medium,False
valencia,VAL_LOC_000023,39.476457543626964,-0.3984782989178298,4,4,Celeritas | Ctt Express | InPost | Nacex,"Av. de Manuel de Falla, 3",Kiosco Papeleria Arco Iris | Kiosco Papeleria Arco-Iris | Kiosco Papeleria Arco-Iris (4601-48),False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",25.48,2,Medium,False
valencia,VAL_LOC_000024,39.47773862738112,-0.3980739071241684,1,1,InPost,"Av. del Maestro Rodrigo, 15",Supermercado Tandy,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000025,39.471265414665254,-0.395747009531191,4,4,Amazon | Ctt Express | InPost | SEUR,"C. Brasil, 12",Papeleria Suico | Seur - Papeleria Suico | Suico | Suico Papeleria Librería,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",11.18,1,High,False
valencia,VAL_LOC_000026,39.466910867209236,-0.38661374267146453,2,2,InPost | SEUR,"C. Buen Orden, 12",Miss Buye,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",6.82,1,High,False
valencia,VAL_LOC_000027,39.465437552152615,-0.3827902412627987,1,1,InPost,"C. de Albacete, 4",Avalon Papeleria,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000028,39.46701890244549,-0.3802005585216838,1,1,InPost,"Calle del Matemàtico Marzal, 1",Mi Phone,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000029,39.47918045088472,-0.4002268027109057,2,1,InPost,C/ de la Vall de la Ballestera,Loteria Marcos Y Fotografias | Tintoreria La Bruixeta,False,False,False,False,False,False,True,False,5,Convenience Store only,2,"Same company, multiple records",0.0,1,High,False
valencia,VAL_LOC_000030,39.47818379223094,-0.3970245228082928,1,1,InPost,C. Marqués de San Juan,Laundry Park Campanar,True,False,False,False,False,False,False,False,1,Locker only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000031,39.46921563808978,-0.3945886314929473,1,1,InPost,"C. de Linares, 20",Herbolario Valle De Angeles,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000032,39.471171433902995,-0.400599244815801,4,4,Amazon | Ctt Express | InPost | SEUR,"C/ Luis Lamarca, 13",Edpack,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",30.47,3,Review,True
valencia,VAL_LOC_000033,39.486260366203446,-0.3895799694719423,1,1,InPost,"C. de Gil Roger, 8",Lavanderia Pina Colada,True,False,False,False,False,False,False,False,1,Locker only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000034,39.48792112843391,-0.3759129429379055,1,1,InPost,"C. Maximiliano Thous, 10",Plasticos Mas Masia,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000035,39.46588619078027,-0.3792181958704386,1,1,InPost,"C. de Pelayo, 34",Outlet Destino 7,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
