Index_1,Index_2,ID_1,ID_2,Company_1,Company_2,Type_1,Type_2,Group_1,Group_2,Location_1,Location_2,Address_1,Address_2,Distance_m,Address_Similarity,Location_Similarity,Address_Numbers_Available,Same_Address_Number,Same_Company,Same_Type,Same_Group,Should_Cluster,Pair_Classification,Pair_Rule
5,174,6,175,InPost,Amazon,Locker,Locker,PUDO,PUDO,Dia C/ Juan Llorens,Lockers - Herbosa,"C. de Juan Llorens, 10","C/ de Joan Llorenç, 10, Extramurs",15.73,72.0,30.3,True,True,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
42,634,43,635,InPost,Ctt Express,Convenience Stores,Convenience Stores,PUDO,PUDO,El Saloncito De Anna,Travel Grupo Logistico,"C/ Estrella, 15","C/ Estrella, 12",28.24,92.31,33.33,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
49,98,50,99,InPost,Correos,Convenience Stores,Locker,PUDO,PUDO,Papeleria Mapamundi,Correos Valencia Suc 5. La SaãDia,"Av. de la Constitución, 136","Av. de la Constitución, 111",28.79,92.0,38.46,True,False,False,False,True,False,Manual review,"same group, weak text match, distance 15-30m"
51,540,52,541,InPost,Celeritas,Convenience Stores,Convenience Stores,PUDO,PUDO,Kiosco Acme,Papelería La Zaidía,"C/ del Padre Urbano, 37","C/ del Padre Urbano, 33",16.46,95.24,20.0,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
51,649,52,650,InPost,Ctt Express,Convenience Stores,Convenience Stores,PUDO,PUDO,Kiosco Acme,Papelería La Zaidía,"C/ del Padre Urbano, 37","C/ del Padre Urbano, 33",17.58,95.24,20.0,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
86,151,87,152,InPost,Amazon,Convenience Stores,Convenience Stores,PUDO,PUDO,Estanco Joaquin Costa,Seur - Karpet Papeleria Tecnica,"C. Joaquín Costa, 44","C. Joaquín Costa, 46",19.04,94.44,24.0,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
86,772,87,773,InPost,Gls,Convenience Stores,Convenience Stores,PUDO,PUDO,Estanco Joaquin Costa,Ps Karpet Papeleria Tecnica,"C. Joaquín Costa, 44","C. Joaquín Costa, 46",19.78,94.44,25.0,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
86,390,87,391,InPost,SEUR,Convenience Stores,Convenience Stores,PUDO,PUDO,Estanco Joaquin Costa,Karpet Papeleria Tecnica,"C. Joaquín Costa, 44","C. Joaquín Costa, 46",20.0,94.44,26.67,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
98,652,99,653,Correos,Ctt Express,Locker,Convenience Stores,PUDO,PUDO,Correos Valencia Suc 5. La SaãDia,The Phone Outlet,"Av. de la Constitución, 111","C/ de Just Ramírez, 4",24.65,36.36,20.41,True,False,False,False,True,False,Manual review,"same group, weak text match, distance 15-30m"
98,473,99,474,Correos,Dhl,Locker,Convenience Stores,PUDO,PUDO,Correos Valencia Suc 5. La SaãDia,Papeleria Mapamundi,"Av. de la Constitución, 111","Av. de la Constitución, 136",26.81,92.0,34.62,True,False,False,False,True,False,Manual review,"same group, weak text match, distance 15-30m"
104,785,105,786,Correos,Gls,Lsp Pudos,Lsp Pudos,PUDO,PUDO,Correos Valencia Suc 6. Puerto,Ps Gls Puerto Valencia,"C. Dr. Juan José Dómine, 13","C. Dr. Juan José Dómine, 14",15.32,95.83,39.22,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
106,785,107,786,Correos,Gls,Locker,Lsp Pudos,PUDO,PUDO,Correos Valencia Suc 6. Puerto,Ps Gls Puerto Valencia,"C. Dr. Juan José Dómine, 13","C. Dr. Juan José Dómine, 14",15.32,95.83,39.22,True,False,False,False,True,False,Manual review,"same group, weak text match, distance 15-30m"
118,181,119,182,Correos,Amazon,Locker,Convenience Stores,PUDO,PUDO,Supermercados Consum,Kalinopa,"Gran Vía de Fernando el Católico, 52-54","Gran Vía de Fernando el Católico, 56",29.05,93.15,14.29,True,False,False,False,True,False,Manual review,"same group, weak text match, distance 15-30m"
128,563,129,564,Correos,Celeritas,Locker,Convenience Stores,PUDO,PUDO,Correos Valencia Suc 12. Benimaclet,La Piñata,"Av. Primado Reig, 129","C/ de Jerónima Galés, 19",17.28,48.78,27.91,True,False,False,False,True,False,Manual review,"same group, weak text match, distance 15-30m"
128,689,129,690,Correos,Ctt Express,Locker,Convenience Stores,PUDO,PUDO,Correos Valencia Suc 12. Benimaclet,La Piñata,"Av. Primado Reig, 129","C/ de Jerónima Galés, 19",21.47,48.78,27.91,True,False,False,False,True,False,Manual review,"same group, weak text match, distance 15-30m"
