ID,Company,Type,Infrastructure,Type Infrastructure,City,Zip Code,Location,Address,Latitude,Longitude,Company_raw,Type_raw,Infrastructure_raw,Type Infrastructure_raw,City_raw,Location_raw,Address_raw,Zip Code_raw,Import_Source,Import_Classification,Data_Quality_Flag,Record_Service_Type_Code,Record_Service_Type_Name,Company_Normalized,Location_Normalized,Address_Normalized,Location_Cluster_ID,Cluster_Record_Count,Cluster_Company_Count,Has_Locker,Has_PUDO,Has_Click_Collect,Has_Distribution_Center,Has_Last_Mile_Station,Has_Warehouse,Has_Convenience_Store,Has_Unknown,Cluster_Service_Type_Code,Cluster_Service_Type_Name,Cluster_Sharing_Type_Code,Cluster_Sharing_Type_Name,Cluster_Diameter_m,Cluster_Spatial_Confidence_Code,Cluster_Spatial_Confidence_Name,Cluster_Companies,Cluster_Review_Required
1,InPost,Convenience Stores,Privada,Premises,Valencia,46001.0,Perfumarte Maria Cristina,"C. de María Cristina, 9",39.47310955975495,-0.377633211837713,InPost,Convenience stores,Private,Premises,Valencia,Perfumarte Maria Cristina,"C. de María Cristina, 9",46001.0,,,,7,Convenience Store,INPOST,PERFUMARTE MARIA CRISTINA,C DE MARIA CRISTINA 9,VAL_LOC_000001,1,1,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,InPost,False
2,InPost,Locker,Privada,Premises,Valencia,46003.0,Carmen Laundry,"C. de Alejandra Soler, 9",39.47756090944269,-0.3828099665562772,InPost,Lockers,Private,Premises,Valencia,Carmen Laundry,"C. de Alejandra Soler, 9",46003.0,,,,1,Locker,INPOST,CARMEN LAUNDRY,C DE ALEJANDRA SOLER 9,VAL_LOC_000002,1,1,True,False,False,False,False,False,False,False,1,Locker only,1,Single record,0.0,1,High,InPost,False
3,InPost,Convenience Stores,Privada,Premises,Valencia,46001.0,Valira Tienda De Fabrica,"Calle del Músico Peydró, 30",39.47179659723847,-0.3784938211122619,InPost,Convenience stores,Private,Premises,Valencia,Valira Tienda De Fabrica,"Calle del Músico Peydró, 30",46001.0,,,,7,Convenience Store,INPOST,VALIRA TIENDA DE FABRICA,CALLE DEL MUSICO PEYDRO 30,VAL_LOC_000003,1,1,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,InPost,False
4,InPost,Convenience Stores,Privada,Premises,Valencia,46003.0,Economy Print,"C/ de Ripalda, 20",39.47889580112418,-0.3812462309078208,InPost,Convenience stores,Private,Premises,Valencia,Economy Print,"C/ de Ripalda, 20",46003.0,,,,7,Convenience Store,INPOST,ECONOMY PRINT,C DE RIPALDA 20,VAL_LOC_000004,1,1,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,InPost,False
5,InPost,Locker,Privada,Premises,Valencia,46008.0,Carmen Laundry 2,"C. de Quart, 125",39.47473011396571,-0.3901642470217949,InPost,Lockers,Private,Premises,Valencia,Carmen Laundry 2,"C. de Quart, 125",46008.0,,,,1,Locker,INPOST,CARMEN LAUNDRY 2,C DE QUART 125,VAL_LOC_000005,1,1,True,False,False,False,False,False,False,False,1,Locker only,1,Single record,0.0,1,High,InPost,False
6,InPost,Locker,Privada,Supermarket,Valencia,46008.0,Dia C/ Juan Llorens,"C. de Juan Llorens, 10",39.47356343765982,-0.3913135158114307,InPost,Lockers,Private,Supermarket,Valencia,Dia C/ Juan Llorens,"C. de Juan Llorens, 10",46008.0,,,,1,Locker,INPOST,DIA C JUAN LLORENS,C DE JUAN LLORENS 10,VAL_LOC_000006,1,1,True,False,False,False,False,False,False,False,1,Locker only,1,Single record,0.0,1,High,InPost,False
7,InPost,Locker,Privada,Supermarket,Valencia,46003.0,Superm Charter C/Salvado,"C/ de Salvador Giner, 22",39.48075067455666,-0.3798377191040145,InPost,Lockers,Private,Supermarket,Valencia,Superm Charter C/Salvado,"C/ de Salvador Giner, 22",46003.0,,,,1,Locker,INPOST,SUPERM CHARTER C SALVADO,C DE SALVADOR GINER 22,VAL_LOC_000007,1,1,True,False,False,False,False,False,False,False,1,Locker only,1,Single record,0.0,1,High,InPost,False
8,InPost,Convenience Stores,Privada,Kiosk,Valencia,46008.0,El Quiosc,C. de San Ignacio de Loyola,39.47389899460428,-0.3896573891830816,InPost,Convenience stores,Private,Kiosk,Valencia,El Quiosc,C. de San Ignacio de Loyola,46008.0,,,,7,Convenience Store,INPOST,EL QUIOSC,C DE SAN IGNACIO DE LOYOLA,VAL_LOC_000008,1,1,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,InPost,False
9,InPost,Convenience Stores,Privada,Premises,Valencia,46008.0,Expendeduria 156,"C. de Calixto III, 1",39.47253854767568,-0.3867316660609,InPost,Convenience stores,Private,Premises,Valencia,Expendeduria 156,"C. de Calixto III, 1",46008.0,,,,7,Convenience Store,INPOST,EXPENDEDURIA 156,C DE CALIXTO III 1,VAL_LOC_000009,2,2,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",8.6,1,High,InPost | Nacex,False
10,InPost,Convenience Stores,Privada,Premises,Valencia,46008.0,Kalinopa,"Gran Vía de Fernando el Católico, 56",39.473999706363465,-0.3868670342211692,InPost,Convenience stores,Private,Premises,Valencia,Kalinopa,"Gran Vía de Fernando el Católico, 56",46008.0,,,,7,Convenience Store,INPOST,KALINOPA,GRAN VIA DE FERNANDO EL CATOLICO 56,VAL_LOC_000010,1,1,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,InPost,False
