Location_Cluster_ID,Merged_Record_Count,Main_Type,id_final,Location,Address,Latitude,Longitude,Capacity_Sum,Zip_Code,ID,Company,Type,Infrastructure,Type Infrastructure,City,Company_raw,Type_raw,Infrastructure_raw,Type Infrastructure_raw,City_raw,Location_raw,Address_raw,Zip Code_raw,Import_Source,Import_Classification,Data_Quality_Flag,Record_Service_Type_Code,Record_Service_Type_Name,Type_Group_Code,Cluster_Record_Count,Cluster_Company_Count,Has_Locker,Has_PUDO,Has_Click_Collect,Has_Distribution_Center,Has_Last_Mile_Station,Has_Warehouse,Has_Convenience_Store,Has_Unknown,Cluster_Service_Type_Code,Cluster_Service_Type_Name,Cluster_Sharing_Type_Code,Cluster_Sharing_Type_Name,Cluster_Diameter_m,Cluster_Spatial_Confidence_Code,Cluster_Spatial_Confidence_Name,Cluster_Companies,Cluster_Review_Required
VAL_LOC_000013,2,PUDO,13,Milar Gran Via,"Gran Vía de Fernando el Católico, 3",39.469506177909025,-0.3846484034033351,240,46008.0,13 + 818,InPost + Mail Boxes Etc,Convenience Stores + Lsp Pudos,Privada,Premises,Valencia,InPost + Mail Boxes ETC,Convenience stores + LSP PUDOs,Private,Premises,Valencia,Milar Gran Via + Mail Boxes Etc. 0285,"Gran Vía de Fernando el Católico, 3 + Gran Vía de Fernando el Católico, 3",46008.0 + 46008.0,,,,7 + 2,Convenience Store + PUDO,1,2,2,False,True,False,False,False,False,True,False,7,Multiple services,4,"Multiple companies, multiple services",9.2,1,High,InPost | Mail Boxes Etc + InPost | Mail Boxes Etc,False
VAL_LOC_000014,5,PUDO,14,Naturalworld,"Carrer de Roteros, 2",39.47915177851796,-0.3763166011184274,600,46003.0,14 + 459 + 523 + 599 + 866,InPost + Dhl + Celeritas + Ctt Express + UPS,Convenience Stores,Privada,Premises,Valencia + Valecia,InPost + DHL + Celeritas + CTT Express + UPS,Convenience stores,Private,Premises,Valencia + Valecia,Naturalworld + Naturalworld + Naturalworld + Naturalworld + Naturalworld,"Carrer de Roteros, 2 + Pl. de los Fueros, 1 + Pl. de los Fueros, 1 + Pl. de los Fueros, 1 + Pl. de los Fueros, 1",46003.0 + 46003.0 + 46003.0 + 46003.0 + 46003.0,,,,7 + 7 + 7 + 7 + 7,Convenience Store + Convenience Store + Convenience Store + Convenience Store + Convenience Store,1,5,5,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",25.15,2,Medium,Celeritas | Ctt Express | Dhl | InPost | UPS + Celeritas | Ctt Express | Dhl | InPost | UPS + Celeritas | Ctt Express | Dhl | InPost | UPS + Celeritas | Ctt Express | Dhl | InPost | UPS + Celeritas | Ctt Express | Dhl | InPost | UPS,False
VAL_LOC_000017,3,PUDO,17,Firdos Movil,"C. de Martín el Humano, 30",39.46976090886281,-0.390239529905619,360,46008.0,17 + 183 + 363,InPost + Amazon + SEUR,Convenience Stores,Privada,Premises,Valencia,InPost + Amazon + Seur,Convenience stores,Private,Premises,Valencia,Firdos Movil + Firdos Movil + Firdos Movil,"C. de Martín el Humano, 30 + C. de Martín el Humano, 30 + C. de Martín el Humano, 30",46008.0 + 46008.0 + 46008.0,,,,7 + 7 + 7,Convenience Store + Convenience Store + Convenience Store,1,3,3,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",23.34,2,Medium,Amazon | InPost | SEUR + Amazon | InPost | SEUR + Amazon | InPost | SEUR,False
VAL_LOC_000020,4,PUDO,20,Bazar 28 De Septiembre,"C/ Guillem de Castro, 69",39.471419800924856,-0.38399199759730823,480,46008.0,20 + 519 + 639 + 845,InPost + Celeritas + Ctt Express + Nacex,Convenience Stores,Privada,Premises,Valencia + Valecia,InPost + Celeritas + CTT Express + Nacex,Convenience stores,Private,Premises,Valencia + Valecia,Bazar 28 De Septiembre + Bazar 28 De Septiembre + Bazar 28 De Septiembre + Bazar 28 De Septiembre (4604-61),"C/ Guillem de Castro, 69 + C/ Guillem de Castro, 69 + C/ Guillem de Castro, 69 + C/ Guillem de Castro, 69",46008.0 + 46008.0 + 46008.0 + 46008.0,,,,7 + 7 + 7 + 7,Convenience Store + Convenience Store + Convenience Store + Convenience Store,1,4,4,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",19.7,2,Medium,Celeritas | Ctt Express | InPost | Nacex + Celeritas | Ctt Express | InPost | Nacex + Celeritas | Ctt Express | InPost | Nacex + Celeritas | Ctt Express | InPost | Nacex,False
VAL_LOC_000021,3,PUDO,21,Estanco Maria,"C/ de la Democracia, 50",39.473788772834475,-0.4004164781510347,360,46018.0,21 + 258 + 920,InPost + Amazon + UPS,Convenience Stores,Privada,Premises,Valencia,InPost + Amazon + UPS,Convenience stores,Private,Premises,Valencia,Estanco Maria + Estanco Valencia 63 + Estanco 63,"C/ de la Democracia, 50 + C/ de la Democracia, 50 + C/ de la Democracia, 50",46018.0 + 46018.0 + 46018.0,,,,7 + 7 + 7,Convenience Store + Convenience Store + Convenience Store,1,3,3,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",19.7,2,Medium,Amazon | InPost | UPS + Amazon | InPost | UPS + Amazon | InPost | UPS,False
VAL_LOC_000022,3,PUDO,22,Eurollibreria,"C. Manolo Taberner, 38",39.47133502476721,-0.39815530835416885,360,46018.0,22 + 566 + 702,InPost + Celeritas + Ctt Express,Convenience Stores,Privada,Kiosk + Premises,Valencia + Valecia,InPost + Celeritas + CTT Express,Convenience stores,Private,Kiosk + Premises,Valencia + Valecia,Eurollibreria + Eurollibreria + Eurollibreria,"C. Manolo Taberner, 38 + C. Manolo Taberner, 38 + C. Manolo Taberner, 38",46018.0 + 46018.0 + 46018.0,,,,7 + 7 + 7,Convenience Store + Convenience Store + Convenience Store,1,3,3,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",19.17,2,Medium,Celeritas | Ctt Express | InPost + Celeritas | Ctt Express | InPost + Celeritas | Ctt Express | InPost,False
VAL_LOC_000025,4,PUDO,25,Suico Papeleria Librería,"C. Brasil, 12",39.471265414665254,-0.395747009531191,480,46018.0,25 + 260 + 374 + 703,InPost + Amazon + SEUR + Ctt Express,Convenience Stores,Privada,Premises,Valencia + Valecia,InPost + Amazon + Seur + CTT Express,Convenience stores,Private,Premises,Valencia + Valecia,Suico Papeleria Librería + Seur - Papeleria Suico + Papeleria Suico + Suico,"C. Brasil, 12 + C. Brasil, 12 + C. Brasil, 12 + C. Brasil, 12",46018.0 + 46018.0 + 46018.0 + 46018.0,,,,7 + 7 + 7 + 7,Convenience Store + Convenience Store + Convenience Store + Convenience Store,1,4,4,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",11.18,1,High,Amazon | Ctt Express | InPost | SEUR + Amazon | Ctt Express | InPost | SEUR + Amazon | Ctt Express | InPost | SEUR + Amazon | Ctt Express | InPost | SEUR,False
VAL_LOC_000026,2,PUDO,26,Miss Buye,"C. Buen Orden, 12",39.466910867209236,-0.38661374267146453,240,46008.0,26 + 364,InPost + SEUR,Convenience Stores,Privada,Premises,Valencia,InPost + Seur,Convenience stores,Private,Premises,Valencia,Miss Buye + Miss Buye,"C. Buen Orden, 12 + C. Buen Orden, 12",46008.0 + 46008.0,,,,7 + 7,Convenience Store + Convenience Store,1,2,2,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",6.82,1,High,InPost | SEUR + InPost | SEUR,False
VAL_LOC_000029,3,PUDO,29,Tintoreria La Bruixeta,C/ de la Vall de la Ballestera,39.47923998392475,-0.400233445968482,300,46015.0,29 + 30 + 62,InPost + InPost + InPost,Convenience Stores + Locker,Privada,Premises + Service Station,Valencia,InPost + InPost + InPost,Convenience stores + Lockers,Private,Premises + Service Station,Valencia,Tintoreria La Bruixeta + Loteria Marcos Y Fotografias + 24/7 Lion Energy,C/ de la Vall de la Ballestera + C/ de la Vall de la Ballestera + C/ de la Vall de la Ballestera,46015.0 + 46015.0 + 46035.0,,,,7 + 7 + 1,Convenience Store + Convenience Store + Locker,1,3,1,True,False,False,False,False,False,True,False,7,Multiple services,2,"Same company, multiple records",19.93,2,Medium,InPost + InPost + InPost,False
VAL_LOC_000036,3,PUDO,37,Uno Electro,"C. de Honorato Juan, 2",39.464392933346524,-0.38622553435729995,360,46007.0,37 + 174 + 632,InPost + Amazon + Ctt Express,Convenience Stores,Privada,Premises,Valencia + Valecia,InPost + Amazon + CTT Express,Convenience stores,Private,Premises,Valencia + Valecia,Uno Electro + Uno Electro + Uno Electro,"C. de Honorato Juan, 2 + Calle HONORATO JUAN, 2 + C. de Honorato Juan, 2",46007.0 + 46007.0 + 46007.0,,,,7 + 7 + 7,Convenience Store + Convenience Store + Convenience Store,1,3,3,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",10.08,1,High,Amazon | Ctt Express | InPost + Amazon | Ctt Express | InPost + Amazon | Ctt Express | InPost,False
