ciudad,barrio,modelo,centro_logistico,paquetes,distancia_troncal_km,km_recorridos,numero_viajes,emisiones_co2_kg,costo_total_eur
valencia,Benicalap,M1: Furgoneta Combustión desde CC,Amazon VLC1,60,58.21215226154649,127.3642421977045,1,28.02013328349499,161.52101624163436
valencia,Benicalap,M2: Furgoneta Eléctrica desde CC,Amazon VLC1,60,58.21215226154649,127.3642421977045,1,0.0,140.10066641747497
valencia,Benicalap,M3: CC -> Microhub -> Bicicleta,Amazon VLC1,60,58.21215226154649,129.0052328488962,4,25.61334699508046,110.60091177748524
valencia,Benicalap,M4: CC -> PUDO -> Entrega a pie,Amazon VLC1,60,58.21215226154649,179.09998702260873,6,25.61334699508046,249.52609036743382
valencia,Benicalap,M5: CC -> PUDO -> Recogida Cliente,Amazon VLC1,60,58.21215226154649,179.09998702260873,61,27.18023905756835,82.39093703539184
valencia,Camins al Grau,M1: Furgoneta Combustión desde CC,Amazon VLC1,133,59.6948038565332,378.0338657782525,3,83.16745047121555,479.4156752369656
valencia,Camins al Grau,M2: Furgoneta Eléctrica desde CC,Amazon VLC1,133,59.6948038565332,378.0338657782525,3,0.0,415.8372523560777
valencia,Camins al Grau,M3: CC -> Microhub -> Bicicleta,Amazon VLC1,133,59.6948038565332,142.23440674797774,8,26.26571369687461,122.71236245753678
valencia,Camins al Grau,M4: CC -> PUDO -> Entrega a pie,Amazon VLC1,133,59.6948038565332,318.9254172115173,13,26.26571369687461,652.3208154667489
valencia,Camins al Grau,M5: CC -> PUDO -> Recogida Cliente,Amazon VLC1,133,59.6948038565332,318.9254172115173,134,31.254108934335882,120.22532347087989
valencia,La Punta,M1: Furgoneta Combustión desde CC,Amazon VLC1,6,61.61441456840376,129.4278364501344,1,28.474124019029567,164.13802895267045
valencia,La Punta,M2: Furgoneta Eléctrica desde CC,Amazon VLC1,6,61.61441456840376,129.4278364501344,1,0.0,142.37062009514784
valencia,La Punta,M3: CC -> Microhub -> Bicicleta,Amazon VLC1,6,61.61441456840376,130.35768754713342,2,27.110342410097655,107.9382744424056
valencia,La Punta,M4: CC -> PUDO -> Entrega a pie,Amazon VLC1,6,61.61441456840376,131.96255236899324,2,27.110342410097655,81.7429017307253
valencia,La Punta,M5: CC -> PUDO -> Recogida Cliente,Amazon VLC1,6,61.61441456840376,131.96255236899324,7,27.3286854909023,58.45297311156339
